Analysis group,Analysis number,Analysis name,Subgroup,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
2,6,Sensitivity analysis: PTSD rate at three months (cases out of randomised),,SUBGROUP_AND_OVERALL,Zohar 2011,2011,0.0,0.0,0.0,0.0,0,15,0.0,0.0,3,10,0.0,0.0,26.992391,0.098214,0.005613,1.71844,
2,7,PTSD rate at study endpoint,,SUBGROUP_AND_OVERALL,Carmi 2022,2022,0.0,0.0,0.0,0.0,4,51,0.0,0.0,4,45,0.0,0.0,66.077884,0.882353,0.234142,3.325108,
2,7,PTSD rate at study endpoint,,SUBGROUP_AND_OVERALL,Delahanty 2013,2013,0.0,0.0,0.0,0.0,0,19,0.0,0.0,3,24,0.0,0.0,16.505693,0.178571,0.009784,3.259249,
2,7,PTSD rate at study endpoint,,SUBGROUP_AND_OVERALL,Zohar 2011,2011,0.0,0.0,0.0,0.0,0,9,0.0,0.0,3,8,0.0,0.0,17.416422,0.128571,0.00764,2.163571,
2,8,Sensitivity analysis: PTSD rate at study endpoint (cases out of randomised),,SUBGROUP_AND_OVERALL,Carmi 2022,2022,0.0,0.0,0.0,0.0,4,60,0.0,0.0,4,58,0.0,0.0,55.636089,0.966667,0.253603,3.684681,
2,8,Sensitivity analysis: PTSD rate at study endpoint (cases out of randomised),,SUBGROUP_AND_OVERALL,Delahanty 2013,2013,0.0,0.0,0.0,0.0,0,31,0.0,0.0,3,33,0.0,0.0,21.820722,0.151786,0.008157,2.824457,
2,8,Sensitivity analysis: PTSD rate at study endpoint (cases out of randomised),,SUBGROUP_AND_OVERALL,Zohar 2011,2011,0.0,0.0,0.0,0.0,0,15,0.0,0.0,3,10,0.0,0.0,22.543189,0.098214,0.005613,1.71844,
2,9,Depression severity at three months,,SUBGROUP_AND_OVERALL,Carmi 2022,2022,0.0,0.0,3.0,3.01,0,43,2.24,2.32,0,33,0.0,0.0,38.052406,0.275246,-0.180564,0.731057,
2,9,Depression severity at three months,,SUBGROUP_AND_OVERALL,Delahanty 2013,2013,0.0,0.0,32.7,11.769,0,19,42.5,12.2474,0,24,0.0,0.0,35.060138,-0.798992,-1.426395,-0.171589,
2,9,Depression severity at three months,,SUBGROUP_AND_OVERALL,Zohar 2011,2011,0.0,0.0,0.52,2.2479,0,9,3.83,3.0646,0,8,0.0,0.0,26.887457,-1.180906,-2.23547,-0.126342,
2,10,Depression severity at study endpoint,,SUBGROUP_AND_OVERALL,Carmi 2022,2022,0.0,0.0,5.85,7.73,0,51,4.44,5.91,0,45,0.0,0.0,39.022783,0.201609,-0.200307,0.603525,
2,10,Depression severity at study endpoint,,SUBGROUP_AND_OVERALL,Delahanty 2013,2013,0.0,0.0,32.7,11.769,0,19,42.5,12.2474,0,24,0.0,0.0,34.833122,-0.798992,-1.426395,-0.171589,
2,10,Depression severity at study endpoint,,SUBGROUP_AND_OVERALL,Zohar 2011,2011,0.0,0.0,0.52,2.2479,0,9,3.83,3.0646,0,8,0.0,0.0,26.144095,-1.180906,-2.23547,-0.126342,
2,11,Anxiety severity at three months,,SUBGROUP_AND_OVERALL,Carmi 2022,2022,0.0,0.0,2.88,2.79,0,43,2.1,2.24,0,33,0.0,0.0,52.12653,0.78,-0.351146,1.911146,
2,11,Anxiety severity at three months,,SUBGROUP_AND_OVERALL,Zohar 2011,2011,0.0,0.0,0.61,1.629,0,9,3.17,2.0252,0,8,0.0,0.0,47.87347,-2.56,-4.321274,-0.798726,
2,12,Anxiety severity at study endpoint,,SUBGROUP_AND_OVERALL,Carmi 2022,2022,0.0,0.0,1.91,2.73,0,51,1.61,2.38,0,45,0.0,0.0,53.273495,0.3,-0.722213,1.322213,
2,12,Anxiety severity at study endpoint,,SUBGROUP_AND_OVERALL,Zohar 2011,2011,0.0,0.0,0.61,1.629,0,9,3.17,2.0252,0,8,0.0,0.0,46.726505,-2.56,-4.321274,-0.798726,
2,13,Quality of life at three months,,SUBGROUP_AND_OVERALL,Delahanty 2013,2013,0.0,0.0,48.0,33.5635,0,19,28.3,35.7626,0,24,0.0,0.0,100.0,19.7,-1.095954,40.495954,
2,14,Dropout for any reason at three months,,SUBGROUP_AND_OVERALL,Carmi 2022,2022,0.0,0.0,0.0,0.0,17,60,0.0,0.0,25,58,0.0,0.0,46.518152,0.657333,0.398944,1.083077,
2,14,Dropout for any reason at three months,,SUBGROUP_AND_OVERALL,Delahanty 2013,2013,0.0,0.0,0.0,0.0,12,31,0.0,0.0,9,33,0.0,0.0,36.613041,1.419355,0.69658,2.892086,
2,14,Dropout for any reason at three months,,SUBGROUP_AND_OVERALL,Zohar 2011,2011,0.0,0.0,0.0,0.0,6,15,0.0,0.0,2,10,0.0,0.0,16.868807,2.0,0.500195,7.996876,
2,15,Dropout for any reason at study endpoint,,SUBGROUP_AND_OVERALL,Carmi 2022,2022,0.0,0.0,0.0,0.0,9,60,0.0,0.0,13,58,0.0,0.0,39.820486,0.669231,0.31003,1.444602,
2,15,Dropout for any reason at study endpoint,,SUBGROUP_AND_OVERALL,Delahanty 2013,2013,0.0,0.0,0.0,0.0,12,31,0.0,0.0,9,33,0.0,0.0,43.906047,1.419355,0.69658,2.892086,
2,15,Dropout for any reason at study endpoint,,SUBGROUP_AND_OVERALL,Zohar 2011,2011,0.0,0.0,0.0,0.0,6,15,0.0,0.0,2,10,0.0,0.0,16.273468,2.0,0.500195,7.996876,
3,1,PTSD severity at three months,,SUBGROUP_AND_OVERALL,Van Zuiden 2017,2017,0.0,0.0,16.97,16.22,0,53,21.24,18.43,0,54,0.0,0.0,100.0,-4.27,-10.845094,2.305094,
3,2,PTSD severity at study endpoint,,SUBGROUP_AND_OVERALL,Van Zuiden 2017,2017,0.0,0.0,12.78,12.69,0,53,13.78,17.7,0,54,0.0,0.0,100.0,-1.0,-6.827419,4.827419,
3,3,Depression severity at three months,,SUBGROUP_AND_OVERALL,Van Zuiden 2017,2017,0.0,0.0,4.03,5.5,0,53,4.59,4.88,0,54,0.0,0.0,100.0,-0.56,-2.531457,1.411457,
3,4,Depression severity at study endpoint,,SUBGROUP_AND_OVERALL,Van Zuiden 2017,2017,0.0,0.0,3.21,4.45,0,53,3.92,4.35,0,54,0.0,0.0,100.0,-0.71,-2.377754,0.957754,
3,5,Anxiety severity at three months,,SUBGROUP_AND_OVERALL,Van Zuiden 2017,2017,0.0,0.0,4.78,5.04,0,53,5.09,4.35,0,54,0.0,0.0,100.0,-0.31,-2.095281,1.475281,
3,6,Anxiety severity at study endpoint,,SUBGROUP_AND_OVERALL,Van Zuiden 2017,2017,0.0,0.0,4.41,4.03,0,53,4.88,4.03,0,54,0.0,0.0,100.0,-0.47,-1.99725,1.05725,
3,7,Dropout for any reason at three months,,SUBGROUP_AND_OVERALL,Van Zuiden 2017,2017,0.0,0.0,0.0,0.0,17,58,0.0,0.0,16,62,0.0,0.0,100.0,1.135776,0.635116,2.031106,
3,8,Dropout for any reason at study endpoint,,SUBGROUP_AND_OVERALL,Van Zuiden 2017,2017,0.0,0.0,0.0,0.0,16,58,0.0,0.0,18,62,0.0,0.0,100.0,0.950192,0.537162,1.680803,
4,1,PTSD severity at study endpoint,,SUBGROUP_AND_OVERALL,Mellman 2002,2002,0.0,0.0,53.3,19.1,0,11,44.1,26.1,0,11,0.0,0.0,100.0,9.2,-9.912687,28.312687,
4,2,Dropouts due to adverse events at study endpoint,,SUBGROUP_AND_OVERALL,Mellman 2002,2002,0.0,0.0,0.0,0.0,0,11,0.0,0.0,0,11,0.0,0.0,,,,,
4,3,PTSD rate at study endpoint,,SUBGROUP_AND_OVERALL,Mellman 2002,2002,0.0,0.0,0.0,0.0,6,11,0.0,0.0,3,11,0.0,0.0,100.0,2.0,0.662045,6.041885,
4,4,Sensitivity analysis: PTSD rate at study endpoint (cases out of randomised),,SUBGROUP_AND_OVERALL,Mellman 2002,2002,0.0,0.0,0.0,0.0,6,11,0.0,0.0,3,11,0.0,0.0,100.0,2.0,0.662045,6.041885,
4,5,Dropout for any reason at study endpoint,,SUBGROUP_AND_OVERALL,Mellman 2002,2002,0.0,0.0,0.0,0.0,0,11,0.0,0.0,0,11,0.0,0.0,,,,,
