Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Morisset 2011,2011,PUB,22958450,"<p>Double-blind, randomised, control trial,</p>","<p><b>Inclusion criteria: </b>less than 6 months of pregnancy and family at risk of atopy defined as at least 2 atopic members including at least 1 of the parents (e.g. mother or father or at least 1 brother or sister).&nbsp;</p>
<p><b>Exclusion criteria: </b>children with known or suspected immune deficiency within family are excluded.&nbsp;</p>","<p><b>Treatment (n = 66): </b>infant formula made of milk fermented with B. breve C50 (4.2 x 10<sup>9</sup> bacteria per 100 g of powder formula) and S. thermophilus 065 (3.84 x 10<sup>7</sup> bacteria per 100 g of powder formula) and heated to kill ferments (heat-killed Bifidobacterium breve C50 and Streptococcus thermophilus 065 (HKBBST)). Formula was to be given every day, from birth to the end of breastfeeding.</p>
<p><b>Control (n = 63): </b>standard infant formula.&nbsp;</p>
<p>Co-intervention: &nbsp;from the 5th month of pregnancy, calcium supplement was included and avoid peanut, nut, egg and fermented milk products or prebiotic- or probiotic-containing food (commercially available milk was allowed).&nbsp;</p>
<p>Mothers who wished to breastfeed were encouraged to do so up to the 6th month after birth. From the 5th month of pregnancy, the mother was required to use calcium supplementation and avoid peanut, nut, egg and fermented milk products or pre-biotic- or probiotic-containing food.&nbsp;</p>","<p><b>Primary outcome:</b> incidence of cow's milk allergy and cow's milk sensitisation at 2 years.&nbsp;</p>
<p><b>Secondary outcome:</b> incidence of sensitisation or allergy to other allergens than cow's milk, or both, and the incidence of allergic symptoms during the study period.&nbsp;</p>
<p><b>Definitions: </b>children were considered allergic to cow's milk or to another food allergen, or both, when oral food challenge was positive. Children were considered sensitised to a food allergen in case of positive skin test (SPT or APT) or positive specific IgE independently of allergy-like symptoms.&nbsp;</p>","<p><b>Sponsor: </b>study was supported by Blédina, France (Danone group).</p>
<p><b>Declaration of interests: </b>C. Aubert-Jacquin was the Danone employee. M. Morisset, D. Moneret-Vautrin and C. Dupont have received honoraria or compensation with regards to the study, as an investigator, coordinator or expert, in relation with the time spent on the study. The authors declared no conflict of interest.</p>"
Niers 2009,2009,PUB,2621320,"<p>Double-blind, randomised, placebo-controlled trial.</p>","<p><b>Inclusion criteria: </b>pregnant women and their families were included at least 2 months before expected delivery (n = 156).</p>
<p>Families with a positive family history of allergic disease, i.e. atopic eczema, food allergy, asthma or allergic rhinitis in either the mother, or the father plus an older sibling with a history of allergic disease.</p>
<p><b>Exclusion criteria: </b>if their mother received antibiotic treatment during the last 2 weeks of pregnancy, child born before 37 weeks' gestation, children received antibiotic treatment in the first 2 weeks of life, if ingestion of the study product was difficult because of vomiting or feeding problems in general for longer than 3 weeks from birth, or if the children had other major medical problems.</p>","<p>Probiotic bacteria were prenatally administered to the pregnant mothers during the last 6 weeks of pregnancy and postnatally for 12 months to their offspring. The intervention was mixed with at least 10 ml of water, breast milk or infants' formula, depending on the choice of feeding by the parents, and ingested as a suspension.</p>
<p><b>Intervention group (n = 78): </b>once daily 3 x 10<sup>9</sup> cfu (1 x 10<sup>9</sup> cfu of each: B. bifidum W23, Bifidobacterium lactis W52 (previously classified as Bifidobacterium infantis), and Lc lactis W58) freeze-dried powder of the probiotic mixture.</p>
<p><b>Control group (n = 78):</b> placebo consisting of the carrier of the probiotic product, i.e. rice starch and maltodextrin. Breastfeeding treatment group 84%, control group 79%). Mean duration of breastfeeding treatment group 7.0 months, control group 7.2 months.</p>","<p><b>Primary outcome: </b>development of eczema during the first 2 years of life, and the initial effects on early microbial colonisation and immune responses. Symptoms indicative of food allergy, eczema, asthma and allergic rhinitis at age of 3, 12 and 24 months were evaluated.</p>
<p><b>Other outcome:</b> compliance and problems experienced with the daily administration of the study product. 6 year follow-up study included the preventative effect of probiotics on the prevalence of asthma, allergic rhinitis and eczema in these high risk children.&nbsp;</p>
<p><b>Definitions: </b>Parental reported eczema from diaries completed weekly.</p>
<p>Physician diagnosed eczema was defined as eczema reported by the parents and diagnosed as eczema by the family doctor or consulted physician.<br>
 Eczema was defined as non-infectious dermatitis with typical features (redness, dryness, oedema, oozing and itching (scratching)) and distribution.</p>
<p>Atopic eczema was defined as eczema plus sensitisation, i.e. detectable (&gt; 0.35 IU/ml) allergen specific IgE antibodies or a positive SPT.</p>
<p>6 year follow-up study included diagnosed allergic diseases from the treating family doctor, complete physical examinations, blood sampling and lung function testing.&nbsp;<br>
 Asthma was defined as at least 1 of the following 4 criteria: doctors diagnosed asthma active in the past 12 months, parental reported wheezing in the past 12 months, use of asthma medication in the past 12 months or an at least 9% reversibility in the forced expiratory volume in half a second (FEV 0.5) or in one second (FEV1).<br>
 Allergic rhinitis was defined according to the ARIA guidelines (Bousquet 2008).&nbsp;<br>
 Food allergy was defined as doctor diagnosed food allergy, combined with sensitisation to food allergens.&nbsp;<br>
 Eczema was defined according to the Williams UK Working Party's criteria (William 1994).</p>","<p><b>Sponsor: </b>declared independent study. 1 &nbsp;author employee of probiotic manufacturer (Winclove Bio Industries B.V., Amsterdam).&nbsp;</p>
<p>Outcomes of allergic disease at 6 years of age included in analysis under childhood incidence.</p>
<p><b>Declaration of interests:</b> HT was an employee of Winclove Bio Industries and the University Medical Centre Utrecht. All of the other authors declared that they had no conflict of interest.</p>"
Ortiz-Andrellucchi 2008,2008,PUB,2621322,"<p>Randomised, controlled, double-blind intervention study with parallel groups.</p>","<p><b>Inclusion criteria: </b>pregnant women aged 18 – 40 years in good general health, low obstetric risk with a normal delivery of a healthy baby.</p>
<p><b>Exclusion criteria:</b> participants &nbsp;with pre-existing conditions such as diabetes, hypertension, autoimmune diseases, asthma, allergy, renal diseases, hepatic diseases, antecedents of viral, bacterial or protozoan infection, multiple pregnancy, high-risk pregnancy, anaemia with Hb below 10·5% and those who smoked &gt; 10 cigarettes/d.</p>","<p><b>Treatment (n = 59):</b> milk fermented with L. casei DN-114001 consumed 3 times/day for 6 weeks, or</p>
<p><b>Control (n = 45):</b> placebo (killed L. casei).</p>
<p>Breastfed: probiotic group 92·6%, control group 81·6%.</p>
<p>The administration of the study products consisted of consumption 3 times per day during 6 weeks. Initiation of the fermented milk intake occurred on the day following the first extraction of blood and breast milk samples.</p>","<p><b>Primary outcomes:</b> to determine if probiotic modulated immune system in women who had recently delivered and were breast-feeding; role of probiotic intake on cytokines in maternal milk and on newborn health variables was also ascertained.</p>
<p><br><b>Other outcomes: </b>antropometry, respiratory episodes (cold, otitis, pharyngitis, laryngitis, bronchitis, pneumonia), gastrointestinal symptoms (oral candidiasis, regurgitation, diarrhoea, colic, constipation)</p>
<p><b>Definitions: </b>evaluated dermatitis and allergic episodes at 2 and 6 months. Definition of dermatitis (communication from author) does not meet review definition for eczema (dermatitis&nbsp;defined as erythematous&nbsp;lesions, with pruritus, presence of cradle cap, peeling and flaking (scaliness or desquamation).</p>
<p>Cow's milk allergy was confirmed by serological test and clinical diagnosis.</p>","<p><b>Sponsor: </b>Danone SA through research contract with the University Foundation of Las Palmas. One author worked for Danone S. A.</p>
<p><b>Declaration of interests:</b> J.C worked for Danone. None of the other authors had a conflict of interest.</p>"
Plummer 2020,2020,PUB,22958457,"<p>Double-blind, placebo-controlled randomised trial.</p>","<p><b>Inclusion criteria:</b> preterm infants both below 1500 g and less than 32 weeks' gestational age at birth.&nbsp;</p>
<p><b>Exclusion criteria:</b> infants suspected of or has major congenital anomalies, considered likely to die within 72 hours of birth as excluded. Babies of mothers who are already taking supplemental probiotics by capsule (not yogurt, etc) are excluded.&nbsp;</p>","<p><b>Treatment (n = 548)</b>: &nbsp;1 × 10<sup>9</sup> total organisms per 1.5 gm <i>Bifidobacterium infantis, Streptococcus thermophilus</i> and <i>Bifidobacterium lactis</i> (""ABC Dophilus Probiotic Powder for Infants<sup>®</sup>"", Solgar, USA) is given to infants from soon after the start of milk feeds until discharge home or term corrected, whichever comes first.&nbsp;</p>
<p><b>Control (n = 511)</b>: placebo. Maltodextrin powder contains 4 kcal/gram and is dairy free, gluten-free and suitable for vegans. The daily dose is 1.5 g of study powder, irrespective of infant's weight or postnatal age.</p>
<p><b>Substudy</b> in Victorian participants (n = 683) at 12 months' corrected age. Of the participants analysed in the substudy, probiotic group n = 127, placebo group n = 154.&nbsp;</p>
<p>The study intervention or placebo was given orally or via gastric tube once daily, unless the feed volume is less than 3 mL when 1 level ProPrems trial measuring spoon of powder is administered in 1.5 mL feed twice daily. Freshly expressed mother's breast milk is the feed of choice, followed by frozen breast milk, if fresh is not available. Banked breast milk is used when mother's milk is not available in centres with established protocols that use breast milk banking. Formula is used only when there is insufficient breast milk or if the mother chooses not to provide breast milk. Tube feeding is commenced as soon as possible in small and increasing amounts according to local protocols and the discretion of the treating neonatalist. Intravenous fluids and nutrition are used until approximately 120 ml/kg of milk is tolerated per 24-hour period.&nbsp;</p>","<p><b>Primary outcome:</b> incidence of at least 1 episode of definite late onset sepsis before 40 weeks' corrected age or discharge home.&nbsp;</p>
<p><b>Secondary outcomes:</b> incidence of clinically-suspected sepsis, NEC, mortality, duration of primary hospital admission, number of courses of antibiotics, number of days until full enteral feeds established&nbsp;</p>
<p><b>Substudy outcomes: </b>growth, infections, hospital admissions and antibiotic courses, cumulative incidence of allergic disease, immunological parameters, allergic sensitisation at 12 months.&nbsp;</p>
<p><b>Definitions:</b> eczema was defined as parent report of doctor diagnosis of eczema or fulfillment of the modified UK Working Party's Diagnostic Criteria (William 1994), for atopic dermatitis; a history of itchy skin in the preceeding 12 months, plus &nbsp;≥ 3 of the following visible dermatitis involving the skin creases extensor surfaces or &nbsp;cheeks, or both; a history of generally dry skin in the preceding 12 months; and a history of asthma or allergic rhinitis (or history of atopic disease in a first‐degree relative).&nbsp;</p>
<p>Atopic eczema was defined as eczema together with a positive SPT to 1 &nbsp;or more allergen.&nbsp;</p>
<p>Food allergy was defined as parent report of doctor‐diagnosed cow's milk, soy, egg, wheat, or peanut allergy with or without a positive SPT to the relevant food allergen to capture both IgE and non‐IgE–mediated food allergy phenotypes.&nbsp;</p>
<p>Wheeze was defined as any parental reported wheeze, and number of infections during the first 2 years of life was defined as parent‐reported number of colds with fever lasting at least 3 days to ensure medically significant infections were captured.</p>","<p><b>Sponsor:</b> project grant from the National Health and Medical Research Council. Funding has also been provided by The Royal Women's Hospital Foundation, Melbourne and The Angior Family Foundation, Melbourne.</p>
<p><b>Declaration of interest: </b>Tang M. was a past member of the Nestle Nutrition Institute Medical Advisory Board (Oceania), was a past member of the global scientific advisory board for Danone Nutricia, received speaker fees for seminars sponsored by Danone Nutricia and Nestle Health Sciences, share options/interest in Prota Therapeutics, and was a consultant to Bayer. All other authors have no conflicts of interest to disclose.</p>"
Rautava 2006,2006,PUB,2621324,"<p>Randomised, double-blind, placebo-controlled clinical trial.</p>","<p><b>Inclusion criteria: </b>need for artificial feeding before the age of 2 months. Intervention commenced when the need for artificial feeding arose and the supplemented formula was to be used as the sole infant formula. Not selected on basis of risk of allergy.</p>
<p><br><b>Exclusion criteria: </b>infants with chronic disease.</p>","<p>81 infants randomised to receive infant formula (Enfamil, Mead Johnson Nutritionals, Evansville, IN) supplemented with either:<br><b>Treatment (n = 38): </b>1 x 10<sup>10</sup> colony-forming units of Lactobacillus rhamnosus (Lactobacillus GG, American type culture collection 53103, Valio Ltd., Helsinki, Finland) and Bifidobacterium lactis Bb-12 (Chr. Hansen, Hoersholm, Denmark) daily until the age of 12 months; or</p>
<p><br><b>Control (n = 43): </b>Placebo (microcrystalline cellulose).<br>
 The intervention was commenced when the need for artificial feeding arose and the supplemented formula was to be used as the sole infant formula during the study period.&nbsp;</p>","<p><b>Primary outcomes:</b> effects of probiotic supplementation in reducing the risk of infectious disease in infants devoid of the recommended 6 months of exclusive breast-feeding.</p>
<p><br><b>Other outcomes:</b> clinical examination at 3, 7, and 12 months. Skin prick test performed at ages 7 and 12 months.&nbsp;<br>
 &nbsp;</p>
<p><b>Definitions</b></p>
<p>Atopic eczema: criteria introduced by Hanifin and Rajka (Hanifin 1980).<br>
 Cow’s milk hypersensitivity: Confirmed by double-blind, placebo-controlled cow’s milk challenge. CMA confirmed by SPTs at the ages of 7 and 12 months.</p>","<p><b>Sponsor: </b>funded by the Microbes and Man Research Program, Academy of Finland, and the Sigrid Juselius Foundation.</p>
<p><b>Declaration of interest: </b>not reported.</p>"
Rozé 2012,2012,PUB,22958464,<p>Double-blind randomised controlled trial.&nbsp;</p>,"<p><b>Inclusion criteria:</b> gestational age &gt; 37 weeks, a postnatal age less than 3 days, fed from birth with probiotic- and prebiotic-free infant formula, and without human milk before inclusion. 4 &nbsp;centres participated in the trial (Mother-and-Children Hospital, Nates, France; Children's Hospital Angers, France; Hospital Saint-Vincent de Paul and HospitalSalpetriere, Paris, France).</p>
<p><b>Exclusion criteria: </b>infant presenting a metabolic, nervous, digestive or organic disease able to interfere with study, evidence of cow's milk protein allergy, infant presenting lactose intolerance.</p>","<p><b>Treatment (n = 48): </b>the experimental formula was characterised by the presence of 2 &nbsp;strains of probiotics (Lactobacillus rhamnosus LCS-742 and Bifidobacterium longum subsp infantis M63) and by the addition of prebiotics: 96% galacto-oligosaccharides and 4% short-chain fructo-oligosaccharides. This formula was also enriched with bovinea-lactalbumin, using a native whey protein concentrate with high a-lactalbu-min concentration (34% of soluble proteins) obtained using careful fractionation techniques (ultrafiltration).&nbsp;</p>
<p><b>Control (n = 49):</b> standard infant formula.</p>
<p>The intervention ended at 6 months of age.&nbsp;</p>","<p><b>Primary outcomes: </b>antropometric measurements such as weight, length, BMI, and cranial perimeter. Dermatological examination and scoring atopic dermatitis (SCORAD) index calculation, sleeping time and general well-being using structured interviews.&nbsp;</p>
<p><b>Other outcomes:</b> formula intake for each meal, bowel habits and stool consistency over the 3 d before each visit were also collected from a home diary kept by the parents.&nbsp;</p>
<p><b>Definitions:</b> atopic dermatitis utilised the UK Working Party's diagnostic criteria (William 1994), and SCORAD index was calculated to assess severity.&nbsp;</p>","<p><b>Sponsor:</b> study was supported by grants from Sodliac, France. Ordesa Group provided scientific support.</p>
<p><b>Declaration of interests:</b> J.-C R. and C. D. received consulting fees from Sodilac, France. No other conflicts of interest reported.</p>"
Savino 2010,2010,PUB,2621328,"<p>Randomised, controlled, double-blind study.</p>","<p><b>Inclusion criteria: </b>breastfed infants diagnosed with infantile colic according to modified Wessel’s criteria (Wessel 1954), episodes of fussy crying that lasted 3 hours a day and for 3 days in the 1 week before enrolment.) All were born at term, birth weight: 2500 – 4000 g and aged 2 to 16 weeks.</p>
<p><b>Exclusion criteria: </b>chronic illness or gastrointestinal disorders, any intake of probiotics or antibiotics in the week preceding recruitment, and any formula-feeding.</p>","<p>5 drops, once a day, 30 minutes before the feed in the morning for 21 days:</p>
<p><b>Treatment (n = 25): </b>L reuteri 10<sup>8</sup> live bacteria/day in sunflower oil and medium-chain triglyceride oil.</p>
<p><b>Control (n = 25): </b>placebo (sunflower oil and medium-chain triglyceride oil).</p>","<p><b>Primary outcome:</b> reduction in average crying time to &lt; 3 hours a day on day 21</p>
<p>Other outcomes: the number of responders in each group on days 7, 14, 21. Intestinal microflora of the infants and any adverse effects.</p>
<p><b>Definitions:</b> not given.</p>
<p>Adverse events reported included rhinitis and eczema.</p>
<p>Parents recorded diary. Paediatricians assessed baseline and day 21.</p>","<p><b>Sponsor: </b>funded by BioGaia AB (Stockholm, Sweden).</p>
<p><b>Declaration of interests: </b>not reported.</p>"
Scalabrin 2009,2009,PUB,2621330,"<p>Double-blind, randomised, controlled, parallel, prospective study.</p>","<p><b>Inclusion criteria: </b>eligible infants were healthy, term infants 38 to 42 weeks' gestational age, with birth weight ≥ 2500 g and solely formula-fed at least 24 hours prior to randomisation.</p>
<p><b>Exclusion criteria: </b>history of underlying disease or congenital malformation likely to interfere with normal growth and development or participant evaluation, formula intolerance, weight at 14 days of age &lt; 98% of birth weight, large for gestational age born from a mother diabetic at childbirth, immunodeficiency, fever at randomisation, systemic antibiotic use within 7 days of randomisation, systemic steroid use any time since birth, LGG-supplemented diet any time since birth (including infants breast-fed when mother consumed dietary LGG), and diarrhoea within 24 hours prior to randomisation.</p>","<p>Randomised to receive through 120 days of age:</p>
<p><b>Control (n = 94): </b>extensively hydrolysed (EH) casein formula (Nutramigen LIPIL, Mead Johnson &amp; Company, Evansville, IN);</p>
<p><b>Treatment 1 (n = 94): </b>same formula supplemented with LGG 10<sup>8</sup> cfu per gram of formula powder; or</p>
<p><br><b>Treatment 2 (n = 98): </b>partially hydrolysed whey: casein (60:40) formula supplemented with LGG 10<sup>8</sup> cfu per gram of formula powder.</p>
<p>A subset of infants continued to receive study formula through 150 days of age.</p>
<p>All formulas supplemented with 0.64% arachidonic acid and 0.32% docosahexaenoic acid of total FAs.</p>","<p><b>Primary outcome: </b>to evaluate the effect on growth and tolerance in healthy, term infants from 14 to 120 days of age.</p>
<p><b>Other outcomes:</b> to analyse the incidence of allergies and infections as well as allergic sensitisation and antibody response to routine vaccinations in a subset of infants who received study formula up to 150 days of age. Reported percentages of allergy-related events.</p>
<p><b>Definitions:</b> not given for allergy-related events.</p>
<p>Performed total IgE and specific IgE to cow milk protein by fluorescent EIA. Definitions of allergy-related adverse events not provided in 5 year follow-up study.</p>","<p><b>Sponsor: </b>study was supported by Mead Johnson Nutrition.</p>
<p>Adverse events categorised as allergy-related (EHF, 10%; EHF-LGG, 18%; PHF-LGG, 15%). Data not included in meta-analysis.</p>
<p>Allergy-related adverse event through year 5 included in analysis under childhood incidence.</p>
<p><b>Declaration of interests: </b>DS, CLH and CLB were all employees of Mead Johnson Nutrition at the time of the study. WJ received research support from Mead Johnson Nutrition. No other conflict of interest to disclose.</p>"
Soh 2009,2009,PUB,2621332,"<p>Double-blind, placebo-controlled randomised clinical trial.</p>","<p>Families with a history of allergic disease were recruited from the antenatal clinics.</p>
<p><b>Inclusion criteria: </b>first-degree relative with doctor diagnosis of asthma, allergic rhinitis or eczema and a positive SPT to Dust mites; gestational age &gt;35 weeks; birth weight &gt; 2 kg.</p>
<p><b>Exclusion criteria: </b>no major congenital malformation or illness. Parents who chose to breast-feed exclusively were not considered for the study.</p>","<p>Participants received at least 60 mL (9.26 g) a day of commercially available cow’s milk-based infant formula with:</p>
<p><b>Treatment (n = 127): </b>probiotic supplementation B. longum BL999 (ATCC: BAA-999 designation BB536, Morinaga, Japan) 1x10<sup>7</sup> cfu/g and L. rhamnosus LPR (CGMCC 1.3724) 2 x 10<sup>7</sup> cfu/g initiated within 12 hours for the first 6 months of life; or</p>
<p><b>Control (n = 126):</b> formula without probiotics.</p>
<p>Mothers were free to decide whether to make up the remainder of the baby feeds with either the trial formula, or to supplement with breast milk, or another infant formula. Weaning to solids was allowed at between 4 and 6 months of age according to local practices, but parents were advised to avoid potentially allergenic foods including eggs, shellfish, and peanuts until after the first birthday.&nbsp;</p>","<p><b>Primary outcome:</b> prevention of eczema and allergic sensitisation in the first year of life in Asian infants at risk of allergic disease.</p>
<p><b>Other outcomes</b>: Paediatrician evaluation at 1, 3, 6 and 12 months which involved a detailed history, recording of anthropometric data and clinical examination. Questionnaires are administered at these visits to record clinical disease and environmental exposures. Biweekly phone calls performed for the first 6 months, after which monthly phone contacts were carried out.</p>
<p><b>Definitions</b></p>
<p>Eczema defined as a pruritic rash over the face or extensors with a chronic relapsing course criteria of Hanifin and Rajka (Hanifin 1980), or both physician diagnosed at 12 months, SCORAD index used.</p>
<p>Sensitisation: SPTs and specific IgE at 12 months. A weal &gt; 3 mm in diameter above the negative control was considered positive.&nbsp;</p>","<p><b>Sponsor: </b>National Medical Research Council, Singapore. The study milk formula was sponsored by Nestles, Vevey, Switzerland.</p>
<p>Infant incidence of cow's milk sensitisation/hypersensitivity unable to be included in analysis due to probiotic n = 0 and placebo n = 0. Incidence of atopic disease up to 5 years included in analysis under childhood incidence. Food allergy since year 3 included in analysis under childhood prevalence.</p>
<p><b>Declaration of interests: </b>not reported.</p>"
Taipale 2011,2011,PUB,2621340,"<p>Randomised double-blind, placebo-controlled study.</p>","<p>Newborn 1-month-old infants were recruited.</p>
<p><b>Inclusion criteria:</b> the child was healthy, parents were willing to use the novel slow release pacifier and the child started to receive the tablet before the age of 2 months age.</p>
<p><b>Exclusion criteria:</b> not specified</p>","<p>Children were given 2 &nbsp;probiotic tablets per day via a novel slow-release pacifier. Each tablet contained 5 x 10<sup>9</sup> cfu of BB-12. Until 6 - 8 months of age, children received the tablet via a small pacifier, thereafter via a large pacifier.</p>
<p><b>Treatment (n = 55):</b> probiotic Bifidobacterium animalis BB-12 containing xylitol tablet administered to the infants twice a day (daily dose BB-12 10 x 10<sup>9</sup> cfu) from age 1 – 2 months to 8 months.</p>
<p><b>Control (n = 54):</b> control xylitol tablet.</p>
<p>Exclusive breastfeeding (months - mean (SD)): treatment: 3·4 (1·7); control 3·8 (1·9). The families were encouraged not to use any other pacifier besides the slow-release pacifier twice a week. If families wanted to use a regular pacifier as well, they were offered the pouch-free version of the slow-release pacifier.&nbsp;</p>","<p><b>Primary outcome: </b>reported cumulative incidence of acute respiratory infections and doctor-diagnosed<b> </b>acute otitis media before age of 8 months. Caries occurrence to 4 years.</p>
<p><br><b>Other outcomes</b>: acute infectious diseases to 2 years. Successful intestinal passage of BB-12. Oral microbial colonisation.</p>
<p>Parents reported atopic diseases or allergic sensitisation to 8 months.</p>
<p><b>Definitions: </b>not reported.</p>","<p><b>Sponsor: </b>grants from Emil Aaltonen and Sohlberg Foundations, Finnish Dental Society Apollonia and Finnish Dental Association. Chr. Hansen A/S (Hoersholm, Denmark) donated the BB-12 for the probiotic tablets and helped in carrying out the faecal analysis of BB-12. The tablets were manufactured by Oy Karl Fazer Ab (Vantaa, Finland). The pacifiers manufactured by Mekalasi Oy (Konnevesi, Finland). Neither Hansen, Fazer nor Mekalasi provided financial support.</p>
<p><b>Declaration of interests: </b>T.T had no conflicts of interest. No other conflict of interest reported.</p>"
Taylor 2006,2006,PUB,2621343,"<p>Randomised, double-blind, placebo-controlled trial.</p>","<p><b>Inclusion criteria:</b> pregnant, atopic women. Maternal atopy defined as doctor-diagnosed clinical history of asthma, allergic rhinitis, or eczema plus a positive SPT to 1 or more common allergens.</p>
<p><br><b>Exclusion criteria:</b> women excluded if smoked, had other medical problems or pregnancy complications, delivered before 37 weeks' gestation, or already taking probiotic supplements.</p>","<p><b>Treatment (n = 115): </b>3 x 10<sup>9</sup> / L acidophilus LAVRI-A1 in maltodextrin (Probiomics, Sydney, Australia). Supplements supplied as stable freeze-dried powder, dissolved in 1 to 2 mL sterile water and administered orally daily from birth to 6 months.</p>
<p><br><b>Control (n = 111): </b>maltodextrin alone.</p>
<p><br>
 Intervention commenced within 48 hours of delivery and was given only to the baby, independent of feeding method.</p>","<p><b>Primary outcomes: </b>clinical assessment of atopic dermatitis at 6 and 12 months of age. Incidence of atopic dermatitis, food allergy, and sensitisation at 12 months and 2.5 years of age.r Primary allergy prevention in a population of Australian children at high risk of allergic disease.<br><br><b>Other outcomes:</b> detailed history and examination collected at 12 months and 2.5 years by the same paediatric allergist. Other symptoms based on parental record; all parents who noted (quote:) 'noisy breathing' of any kind were asked to give detail descriptions of this to the paediatrician. Doctor diagnosed gastrointestinal infections were recorded. Assessment of the expression of T-regulatory phenotype.</p>
<p><b>Definitions:&nbsp;</b><br>
 Atopic dermatitis: typical skin lesions responsive to topical steroids. The severity determined using the severity score of atopic dermatitis (SCORAD).<br>
 IgE-mediated food allergy: History of immediate symptoms after contact with or ingestion of food and a positive SPT to the implicated food. Symptoms of acute food allergy include skin reactions (hives, rash or swelling) or respiratory symptoms (cough, wheeze, stridor) or gastrointestinal symptoms (abdominal pain, vomiting, loose stools) or cardiovascular symptoms (collapse).</p>
<p>Asthma: defined as recurrent wheezing (3 or more episodes, at least 1 confirmed by a paediatrician or general practitioner) with evidence of responsiveness to bronchodilator therapy.</p>","<p><b>Sponsor: </b>National Health and Medical Research Council of Australia and Probiomics as an industry partner. The study and all of the analyses were conducted independently of the commercial entity.</p>
<p>Clinical and sensitisation characteristics of the study population at 1 year included in analysis under infant incidence. Clinical and sensitisation at 2.5 years of age included in analysis under childhood incidence. All outcomes described in the 5 year follow-up study refer to ""recent"" symptoms (in the preceding 12 months) unless stated otherwise; thus included in analysis under childhood prevalence.&nbsp;</p>
<p><b>Declaration of interests: </b>not reported.</p>"
Vlieger 2009,2009,PUB,2621350,<p>Randomised controlled trial.</p>,"<p><b>Inclusion criteria: </b>pregnant mothers, who intended to bottle-feed infants born &gt; 37 weeks' gestation and &lt; 7 days at enrolment (N = 159).</p>
<p><b>Exclusion criteria:</b> use of antibiotics in the first week, congenital illnesses or malformations and insufficient Dutch language.</p>","<p>Infants fed to 3 months with a pre-biotic containing starter formula supplemented with L. paracasei ssp paracasei and B. animalis ssp. lactis or the same formula without probiotics. Parents of the first 80 infants who completed the first part of the study were asked to continue the use of the study formula for another 3 months. Parents received the assigned infant formula with written instructions for its preparation and were advised to feed infants ad libitum during the study period. Solid foods were introduced at the age of 4 months.</p>
<p><b>Treatment (n = 69): </b>standard milk-based powder formula with GOS 2.4 g/L with B. animalis 1 x 10<sup>7</sup> cfu/g and L. paracasei 1 x 10<sup>7</sup> cfu/g;</p>
<p><b>Control (n = 64): </b>standard milk-based powder formula with GOS 2.4g/L.</p>","<p><b>Primary outcome: </b>differences in growth parameters at 3 months of age.</p>
<p><b>Other outcomes:</b> differences in growth parameters at the age of 6 months, differences in stool characteristics (consistency and frequency), crying (h/d), the number of upper respiratory tract infections and gastrointestinal tract infections as diagnosed by the parents, the number of antibiotics and visits to the general practitioner. Adverse effects were recorded including vomiting, diarrhoea, constipation, colic and rash or eczema. Recorded in participant diaries.</p>
<p><b>Definitions:</b> definitions not specified. In case of serious adverse events, 1 of the paediatricians was contacted to assess the adverse event.</p>","<p><b>Sponsor: </b>Financed by Friesland Foods, Leeuwarden, The Netherlands.</p>
<p>Did not report data for allergy. Included data for adverse effects which combines rash with eczema.</p>
<p><b>Declaration of interests: </b>J. K and R. t. B were employed by the sponsor (Friesland Foods) at the time of the study. All other authors declared that they had no conflict of interest.&nbsp;</p>"
