Study,Outcome,Data type,Effect measure,Arm,Reference arm,Sample size,Cases,Mean,SD,SE,Variance,CI level,CI start,CI end,Exp mean,Exp CI start,Exp CI end,t-test,z-test,P value,Covariance method,Covariance,Other arm 1,Other arm 2,Correlation arm 1,Correlation arm 2,Correlation,Other mean,Other SE,Other variance,Other CI level,Other CI start,Other CI end,Other exp mean,Other exp CI start,Other exp CI end,Other t-test,Other z-test,Other P value,Footnotes
Ortiz-Andrellucchi 2008,Eczema by 2 years,Arm level,,No probiotics,,37,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ortiz-Andrellucchi 2008,Eczema by 2 years,Arm level,,Probiotics,,51,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plummer 2020,Eczema by 2 years,Arm level,,No probiotics,,137,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plummer 2020,Eczema by 2 years,Arm level,,Probiotics,,118,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plummer 2020,Food allergy by 2 years,Arm level,,No probiotics,,154,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plummer 2020,Food allergy by 2 years,Arm level,,Probiotics,,124,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rautava 2006,Cow's milk protein allergy by 2 years,Arm level,,No probiotics,,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rautava 2006,Cow's milk protein allergy by 2 years,Arm level,,Probiotics,,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rautava 2006,Eczema by 2 years,Arm level,,No probiotics,,40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rautava 2006,Eczema by 2 years,Arm level,,Probiotics,,32,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savino 2010,Allergic rhinitis by 2 years,Arm level,,No probiotics,,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savino 2010,Allergic rhinitis by 2 years,Arm level,,Probiotics,,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savino 2010,Eczema by 2 years,Arm level,,No probiotics,,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savino 2010,Eczema by 2 years,Arm level,,Probiotics,,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soh 2009,Allergic rhinitis by 2 years,Arm level,,No probiotics,,121,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soh 2009,Allergic rhinitis by 2 years,Arm level,,Probiotics,,124,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soh 2009,Asthma by 2 years,Arm level,,No probiotics,,121,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soh 2009,Asthma by 2 years,Arm level,,Probiotics,,124,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soh 2009,Eczema by 2 years,Arm level,,No probiotics,,121,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soh 2009,Eczema by 2 years,Arm level,,Probiotics,,124,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taipale 2011,Cow's milk protein allergy by 2 years,Arm level,,No probiotics,,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taipale 2011,Cow's milk protein allergy by 2 years,Arm level,,Probiotics,,34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor 2006,Eczema by 2 years,Arm level,,No probiotics,,87,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor 2006,Eczema by 2 years,Arm level,,Probiotics,,88,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor 2006,Food allergy by 2 years,Arm level,,No probiotics,,87,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor 2006,Food allergy by 2 years,Arm level,,Probiotics,,88,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vlieger 2009,Eczema by 2 years,Arm level,,No probiotics,,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vlieger 2009,Eczema by 2 years,Arm level,,Probiotics,,41,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West 2008,Allergic rhinitis by 2 years,Arm level,,No probiotics,,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West 2008,Allergic rhinitis by 2 years,Arm level,,Probiotics,,84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West 2008,Asthma by 2 years,Arm level,,No probiotics,,87,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West 2008,Asthma by 2 years,Arm level,,Probiotics,,84,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West 2008,Eczema by 2 years,Arm level,,No probiotics,,87,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West 2008,Eczema by 2 years,Arm level,,Probiotics,,84,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wickens 2008,Eczema by 2 years,Arm level,,No probiotics,,159,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wickens 2008,Eczema by 2 years,Arm level,,Probiotics,,315,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
