Study,Year,Data source,ID: CRS,ID: CTG,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Study registration,Char: Publication details,Char: Stated aim for study,Char: Notes
Buvat 2011,2011,PUB,22923490,NCT00244023,"<p><b>Study design: </b>randomized, multicenter, multinational, double-blind, placebo-controlled study</p><p><b>Setting/country: </b>multicenter/Europe</p><p><b>Dates when study was conducted:</b> October 2005 to July 2007</p>","<p><b>Inclusion criteria:</b></p><ul><li>ED complaint ongoing for over 3 months</li><li>Age: between 45 and 80 years old</li><li>Stable heterosexual relationship for more than 3 months and anticipates having the same partner for the whole study</li><li>Not responded adequately to the highest available dosage of tadalafil or other PDE5 inhibitors</li><li>Low or low-to-normal serum testosterone level</li><li>Agrees to make at least 4 attempts at sexual intercourse on 4 separate days during the 4-week run-in period with daily tadalafil 10 mg</li><li>At least 50% of attempts during this period must be unsuccessful</li><li>Agrees not to use any other ED drug or non-drug treatment during the full course of the study</li><li>Providing a signed informed consent</li></ul><p><b>Exclusion criteria:</b></p><ul><li>Impotence caused by other primary sexual disorder</li><li>BMI &gt; 35 kg/m<sup>2</sup></li><li>SBP &gt; 170 or &lt; 90 mmHg or DBP &gt; 110 or &lt; 50 mmHg</li><li>PSA: upper than the normal range</li><li>Extensive skin abnormalities that could affect the absorption of the gel</li><li>Hypersensitivity: Cialis (tadalafil), the active substances or any of the excipients of Androgel®/Testogel®</li><li>Use of androgen therapy or anabolic steroids within 6 months of entry into the study</li><li>Unwilling to cease use of vacuum devices, intracavernosal injection, Viagra, or other therapy for ED</li><li>Seeking conception or treatment for infertility</li><li>Concurrent participation in another clinical trial within 1 month of entry into this study or throughout the duration of the study</li><li>Previous randomization into this study</li><li>Other histories of diseases or drugs like hyperprolactinemia, severe hepatic impairment, cardiac diseases, DHEA and anabolic steroids, and antiandrogens</li><li>Illiteracy, lack of fluency in the language used for the writing of the protocol and questionnaires, unwillingness, medical, psychiatric, or other conditions that compromise the patient's ability to understand the patient information, to give informed consent, to understand or complete diary or questionnaires or otherwise comply with the trial protocol, or to complete the study</li></ul><p><b>Total number of participants randomly assigned:</b> 173</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 87</li><li>Age (mean ± SD): 58.33 ± 7.56 years</li><li>BMI (mean ± SD): 27.87 ± 4.19 kg/m²</li><li>Testosterone (mean ± SD): 11.7 ± 6 nmol/L</li><li>IIEF-EF (mean ± SD): 15.5 ± 4.2</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 86</li><li>Age (mean ± SD): 59.93 ± 7.38 years</li><li>BMI (mean ± SD): 27.64 ± 3.26 kg/m²</li><li>Testosterone (mean ± SD): 11.7 ± 6 nmol/L</li><li>IIEF-EF (mean ± SD): 15.8 ± 4.1</li><li>PSA (mean ± SD): NA</li></ul>",<p><b>Group A: </b>testosterone 50 mg in 5 g of gel + tadalafil 10 mg/day for 12 weeks</p><p><b>Group B: </b>placebo gel (5 g) + tadalafil 10 mg/day for 12 weeks</p><p><b>Follow-up:</b> 16 weeks</p>,"<p><b>Primary outcomes</b></p><ol><li>Erectile function</li><li>Sexual quality of life</li></ol><p>How measured:</p><ol><li>IIEF-EF, GAQ</li><li>AMS</li></ol><p>Time points measured: baseline, 4, 8, 12, 16 weeks</p><p>Time points reported: baseline, 4, 8, 12, 16 weeks</p><p><b>Secondary outcomes</b></p><ol><li>Mean scores on the 4 other domains of the IIEF, and on the whole IIEF</li><li>% of ""Yes"" responses to questions 2, 3, 4, and 5 of the SEP</li><li>Prostate-related events (PSA level, DRE)</li></ol><p>Time points measured:</p><ol><li>Baseline, 4, 8, 12, 16 weeks</li><li>Baseline, 4, 8, 12, 16 weeks</li><li>Baseline, 16 weeks</li></ol><p>Time points reported:</p><ol><li>Baseline, 4, 8, 12, 16 weeks</li><li>Baseline, 4, 8, 12, 16 weeks</li><li>Baseline, 16 weeks</li></ol><p><b>Safety outcomes</b></p><p>How measured: hematocrit</p><p>Time points measured: baseline, 16 weeks</p><p>Time points reported: baseline, 16 weeks</p><p><b>Subgroup:</b> IIEF-EF, SEP-3</p><ul><li>Testosterone: ≤ 4, ≤ 3.46, ≤ 3, ≤ 2.31</li></ul>",<p>NCT00244023</p>,"<p>Funding sources: Bayer-Schering Pharma, Lilly, Besins International</p><p>Declarations of interest: authors served as investigator, speaker, or advisor for Bayer-Schering Pharma, Eli-Lilly, Pfizer, Prostrakan, Auxilium</p>",<p>To confirm the add-on effect of T in men optimally treated with PDE5Is and to specify the baseline T levels at which such an effect becomes significant</p>,<p><b>Language of publication: </b>English</p>
Carroll 1984,1984,PUB,22923496,,"<p><b>Study design: </b>double-blind, cross-over comparison</p><p><b>Setting/country: </b>single center/UK</p><p><b>Dates when study was conducted: </b>From May 1981 to December 1982</p>","<p><b>Inclusion criteria: </b>men aged 19 years old or older presenting complaint of difficulty in achieving or maintaining a full erection during sexual activity, not secondary to loss of sexual interest or obvious physical or mental illness</p><p><b>Exclusion criteria: </b>NA</p><p><b>Total number of participants randomly assigned:</b> 10</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 5</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): NA</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 5</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): NA</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul>","<p><b>Group A: </b>testosterone IM (testosterone propionate 30 mg, testosterone phenylpropionate 60 mg, testosterone isocaproate 60 mg, testosterone decanoate 100 mg)</p><p><b>Group B: </b>placebo injection</p><p><b>Follow-up: </b>16 weeks</p>","<ul><li>Erectile function</li></ul><p>How measured: daily diaries (waking erection, sexual activity)</p><p>Time points measured: daily</p><p>Time points reported: weekly</p><p><b>Safety outcomes</b>: NA</p><p><b>Subgroup:</b> none</p>",<p>NA</p>,<p>Funding sources: NR</p><p>Declarations of interest: NR</p>,<p>Testosterone treatment would be beneficial for those whose principal complaint was loss of sexual interest but not for those with erectile dysfunction as their principal problem</p>,<p><b>Language of publication: </b>English</p>
Chiang 2007,2007,PUB,22923498,,"<p><b>Study design: </b>randomized, double-blind, placebo-controlled trial</p><p><b>Setting/country: </b>multicenter/Taiwan</p><p><b>Dates when study was conducted: </b>from November 2002 to November 2004</p>","<p><b>Inclusion criteria:</b></p><ul><li>Age: between 20 and 75 years</li><li>Men diagnosed with testosterone deficiency that required testosterone replacement were considered eligible</li><li>Men had never taken androgen replacement therapy or withdrawn from testosterone supplements (including food supplements like DHEA) for 6 weeks before the study began</li><li>Hypogonadal men were eligible if their morning serum testosterone concentrations were &lt; 300 ng/dL. If TT was ≥ 300 ng/dL, FT concentrations were to be &lt; 8.7 pg/mL</li></ul><p><b>Exclusion criteria:&nbsp;</b></p><p>Men with the following.</p><ul><li>Abnormal prostate levels of IPSS &gt; 25</li><li>Prostatic masses or induration on rectal examination or elevated levels of PSA &gt; 4 ng/mL or maximum urine flow rate of &lt; 10 mL/s or hematocrit &gt; 50%</li><li>History or evidence of pulmonary, renal, hepatic, neurological, musculoskeletal, or cardiovascular disease that might affect the outcome of the study or would place him at risk</li><li>Taking drugs that might interfere with the study results (for example, paroxetine, clomipramine, antiandrogen, estrogens, p450 enzyme inducers, barbiturates, oxyphenbutazone, adrenocorticotropic hormone or corticosteroids)</li><li>Major psychiatric illness, sleep apnea, significant systemic illness, active alcoholism, history of drug abuse within the past 5 years</li><li>Body mass index (BMI) &gt; 27.0 or &lt; 18.5</li><li>Generalized skin disease that might affect the absorption of testosterone or prolactin levels &gt; 40 μg/L</li><li>Some men were excluded from this study because of their wives’ disagreements</li></ul><p><b>Total number of participants randomly assigned: </b>40</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 20</li><li>Age (mean ± SD): 20 to 75 years</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): 7.4 ± 5.5 nmol/L</li><li>IIEF-5 (mean ± SD): 10.7 ± 4.9</li><li>PSA (mean ± SD): 1.0 ± 0.8 ng/mL</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 20</li><li>Age (mean ± SD): 20 to 75 years</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): 9.1 ± 6.9 nmol/L</li><li>IIEF-5 (mean ± SD): 13.9 ± 6.6</li><li>PSA (mean ± SD): 0.7 ± 1.1 ng/mL</li></ul>",<p><b>Group A: </b>50 mg testosterone gel (AndroGel) in 5 g sachets once daily</p><p><b>Group B: </b>placebo gel once daily</p><p><b>Follow-up: </b>3 months</p>,"<p><b>Primary outcomes</b></p><ol><li>Erectile function</li><li>Laboratory outcomes</li></ol><p>How measured:</p><ol><li>IIEF-5/ IIEF-15</li><li>TT, FT, DHT, estradiol, LH, FSH and SHBG</li></ol><p>Time points measured: baseline, 3 months</p><p>Time points reported: baseline, 3 months</p><p><b>Secondary outcomes</b></p><ol><li>Prostate-related events</li><li>Lower urinary tract symptoms</li></ol><p>How measured:&nbsp;</p><ol><li>DRE, serum PSA level</li><li>IPSS</li></ol><p>Time points measured:&nbsp;</p><ol><li>DRE: baseline, 3 months/ PSA: 3 months</li><li>IPSS: baseline, 3 months</li></ol><p>Time points reported: baseline, 3 months</p><p><b>Safety outcomes</b></p><p>How measured: not described</p><p>Time points measured: likely cumulated</p><p>Time points reported: likely cumulated</p><p><b>Subgroup:</b> none</p>",<p>NA</p>,"<p>Funding sources: Orient Europharma Co., Ltd.</p><p>Declarations of interest: NR</p>","<p>To evaluate the efficacy and safety of 50 mg/day of TTG, applied on non-scrotal skin, for hypogonadal men in Taiwan</p>",<p><b>Language of publication: </b>English</p>
Gilbert 1992,1992,PUB,22923503,,"<p><b>Study design: </b>randomized, double-blind, cross-over clinical trial</p><p><b>Setting/country: </b>single center/USA</p><p><b>Dates when study was conducted: </b>NA</p>",<p><b>Inclusion criteria: </b>men with low testosterone and impotence</p><p><b>Exclusion criteria: </b>NA</p><p><b>Total number of participants randomly assigned: </b>NA</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned:<b> </b>NA</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD):<b> </b>NA</li><li>Testosterone (mean ± SD):<b> </b>NA</li><li>EF (mean ± SD):<b> </b>NA</li><li>PSA (mean ± SD):<b> </b>NA</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned:<b> </b>NA</li><li>Age (mean ± SD):<b> </b>NA</li><li>BMI (mean ± SD):<b> </b>NA</li><li>Testosterone (mean ± SD):<b> </b>NA</li><li>EF (mean ± SD):<b> </b>NA</li><li>PSA (mean ± SD):<b> </b>NA</li></ul>,"<p><b>Group A: </b>testosterone enanthate IM, 200 mg every 2 weeks for 3 doses</p><p><b>Group B: </b>normal saline</p><p><b>Follow-up: </b>6 weeks</p>",<ul><li>Sexual function</li></ul><p>How measured: sexual questionnaire and Rigiscan</p><p>Time points measured:<b> </b>NA</p><p>Time points reported:<b> </b>NA</p><p><b>Safety outcomes</b></p><p>How measured:<b> </b>NA</p><p>Time points measured:<b> </b>NA</p><p>Time points reported:<b> </b>NA</p><p><b>Subgroup:</b> none</p>,<p>NA</p>,<p>Funding sources:<b> </b>NR</p><p>Declarations of interest:<b> </b>NR</p>,<p>To evaluate the effect of testosterone enanthate in impotent men with low or low-normal serum testosterone levels</p>,<p><b>Language of publication: </b>English</p>
Giltay 2010,2010,PUB,22923505,NCT00696748,"<p><b>Study design: </b>randomized, placebo-controlled, double-blind, phase III trial</p><p><b>Setting/country: </b>single center/Russia</p><p><b>Dates when study was conducted: </b>October 2005 to October 2008</p>","<p><b>Inclusion criteria: </b>men aged between 35 and 70 years old, with total testosterone levels below 12.0 nmol/L or a calculated free testosterone level below 225 pmol/L, and a diagnosis of MS</p><p><b>Exclusion criteria:</b></p><ul><li>Participation in another clinical study</li><li>Incapable of giving informed consent or incapable of meeting the necessary testing specified in the study protocol</li><li>Having a serious organic or mental disease diagnosed by a psychiatrist (e.g. major depression currently treated with antidepressant medication) suspected on the basis of medical history and/or clinical examination</li><li>Having prostate cancer, breast cancer or suspicion thereof</li><li>Presence or history of hepatic tumors</li><li>Having acute or chronic hepatic disease</li><li>Presence of kidney disease with renal failure</li><li>Having abnormalities in biochemical or hematological laboratory values, whether associated with clinical manifestations of disease or not</li><li>Suspected lack of the participant’s compliance</li><li>Hypersensitivity to the active substance</li></ul><p><b>Total number of participants randomly assigned: </b>184</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 113</li><li>Age (mean ± SD): 51.6 years</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): 7.7 nmol/L</li><li>IIEF-5 (mean ± SD): 13.0</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 71</li><li>Age (mean ± SD): 52.8 years</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): 8.4 nmol/L</li><li>IIEF-5 (mean ± SD): 14.1</li><li>PSA (mean ± SD): NA</li></ul>","<p><b>Group A: </b>testosterone undecanoate 1000 mg IM at baseline, and after 6 and 18 weeks</p><p><b>Group B: </b>placebo</p><p><b>Follow-up: </b>30 weeks</p>","<p><b>Primary outcomes</b></p><ol><li>Depressive and aging male symptoms</li><li>Erectile function</li><li>Sexual quality of life</li></ol><p>How measured:</p><ol><li>The Beck Depression Inventory</li><li>IIEF-5</li><li>AMS scale</li></ol><p>Time points measured: baseline, 18 and 30 weeks</p><p>Time points reported: baseline, 18 and 30 weeks</p><p><b>Secondary outcomes</b></p><ul><li>BMI</li><li>LDL and HDL cholesterol, and triglycerides</li><li>Endocrine measurements</li><li>FT levels</li></ul><p>How measured: NA</p><p>Time points measured: NA</p><p>Time points reported: NA</p><p><b>Safety outcomes</b></p><p>How measured: NA</p><p>Time points measured: NA</p><p>Time points reported: NA</p><p><b>Subgroup:</b> none</p>",<p>NA</p>,"<p>Funding sources: Bayer Schering Pharma, Berlin, Germany</p><p>Declarations of interest: employment and stock ownership from Bayer Schering Pharma AG</p>","<p>To assess the effects of testosterone administration on these subjective symptoms, which have not extensively been studied in hypogonadal men with MS</p>",<p><b>Language of publication: </b>English</p>
Gooren 2011,2011,PUB,22923513,,"<p><b>Study design: </b>randomized, double-blind, placebo-controlled study</p><p><b>Setting/country:</b> NA</p><p><b>Dates when study was conducted:</b> NA</p>",<p><b>Inclusion criteria:</b> men aged 50 to 80 years with TT&lt; 15 nmol/L and AMS rating scale total score &gt; 36</p><p><b>Exclusion criteria:</b> NA</p><p><b>Total number of participants randomly assigned: </b>362</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 183</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): NA</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 179</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): NA</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul>,<p><b>Group A: </b>transdermal 1% T gel 5 to 7.5 mg/day</p><p><b>Group B: </b>placebo</p><p><b>Follow-up:</b> NA</p>,"<p><b>Primary outcomes</b></p><ul><li>Change in lean body mass after 6 months</li></ul><p>How measured: NA</p><p>Time points measured: NA</p><p>Time points reported: NA</p><p><b>Secondary outcomes</b></p><ul><li>Fat mass, total body mass and HRQoL</li></ul><p>How measured: NA</p><p>Time points measured: NA</p><p>Time points reported: NA</p><p><b>Safety outcomes</b></p><p>How measured: NA</p><p>Time points measured: NA</p><p>Time points reported: NA</p><p><b>Subgroup:</b> NA</p>",<p>NA</p>,<p>Funding sources: NR</p><p>Declarations of interest: NR</p>,<p>To assess the efficacy of testosterone therapy in men with LOH</p>,<p><b>Language of publication: </b>English</p>
Groti 2018,2020,PUB,22923515,,"<p><b>Study design:</b> double-blind, placebo-controlled study</p><p><b>Setting/country:</b> single center/Slovenia</p><p><b>Dates when study was conducted:</b> January 2014 to March 2018</p>","<p><b>Inclusion criteria:</b> men aged &gt; 35 years, with confirmed LOH (decreased sexual interest, absent or rare morning erections, and erectile dysfunction), TT level &lt; 11 nmol/L, BMI ≥ 30 kg/m<sup>2</sup>, T2DM treated exclusively with non-insulin antidiabetic medications (metformin and sulfonylureas)</p><p><b>Exclusion criteria:</b></p><ul><li>Previously treated hypogonadism</li><li>History of current prostate or breast cancer, severe benign prostatic hyperplasia or PSA level &gt; 4.0 μg/L, severe heart failure, acute coronary event or procedure during the 6 months prior to the study, chronic obstructive lung disease, severe obstructive sleep apnea with apnea hypopnea index &gt; 30/h, and active infection</li></ul><p><b>Total number of participants randomly assigned: 55</b></p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 28</li><li>Age (mean ± SD): 58.2 ± 7.9 years</li><li>BMI (mean ± SD): 34.0 ± 4.3</li><li>Testosterone (mean ± SD): 7.24 ± 1.97 nmol/L</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 27</li><li>Age (mean ± SD): 62.1 ± 5.9 years</li><li>BMI (mean ± SD): 32.6 ± 3.6</li><li>Testosterone (mean ± SD): 7.96 ± 1.34 nmol/L</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul>",<p><b>Group A: </b>testosterone undecanoate (TU Nebido 1000 mg; Bayer AG) IM</p><p><b>Group B: </b>placebo (no further description)</p><p><b>Follow-up:</b> 12 months</p>,"<ul><li>Serum TT, estradiol, sex hormone binding globulin, luteinizing hormone, follicle-stimulating hormone, fasting plasma glucose, glycated hemoglobin A1c, fasting insulin, lipid profile, routine blood tests (complete blood count, electrolytes, urea, creatinine, liver tests), PSA, serum albumin</li><li>BMI</li><li>Waist circumference</li><li>Intima media thickness and plaque</li><li>Brachial artery flow-mediated dilatation, endothelium independent nitroglycerine-mediated dilatation</li></ul><p>How measured:</p><ul><li>Blood samples</li><li>Weight in kilograms divided by square of height</li><li>NR</li><li>Ultrasonography</li><li>Celermajer method</li></ul><p>Time points measured: baseline, 1 year, 2 years</p><p>Time points reported: baseline, 1 year, 2 years</p><p><b>Safety outcomes: </b>PSA, adverse event</p><p>How measured: NA</p><p>Time points measured: NA</p><p>Time points reported: likely cumulative</p><p><b>Subgroup:</b> NA</p>",<p>NCT03792321</p>,<p>Funding sources: Bayer Pharma AG</p><p>Declarations of interest: none</p>,"<p>To assess effects of testosterone therapy on insulin resistance, visceral obesity, glycemic control, lipid abnormalities, vascular function, and morphology in obese hypogonadal men with T2DM</p>",<p><b>Language of publication: </b>English</p>
Hackett 2017,2017,PUB,22923519,,"<p><b>Study design: </b>randomized, placebo-controlled study</p><p><b>Setting/country: </b>multicenter<b>/</b>NA</p><p><b>Dates when study was conducted: </b>September 2008 to June 2012</p>","<p><b>Inclusion criteria: </b>men aged 18 to 80 years with symptoms of hypogonadism defined by the AMS together with an initial TT ≤ 12.0 nmol/L or FT ≤ 0.25 nmol/L</p><p><b>Exclusion criteria: </b>men considered too frail for TRT, previous TRT, abnormal digital rectal examination, PSA &gt; 4 ng/L, hematocrit &gt; 0.50, history of prostate cancer or other serious comorbidities</p><p><b>Total number of participants randomly assigned:</b> 199</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 97</li><li>Age (mean ± SD): 61.2 ± 10.5 years</li><li>BMI (mean ± SD): 33.0 ± 6.1</li><li>Testosterone (mean ± SD): 9.2 ± 3.1 nmol/L</li><li>IIEF-EF (mean ± SD): 13.24 ± 9.80</li><li>PSA (mean ± SD): 1.4 ± 1.4 ng/mL</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 102</li><li>Age (mean ± SD): 62.0 ± 9.3 years</li><li>BMI (mean ± SD): 32.4 ± 5.5</li><li>Testosterone (mean ± SD): 8.9 ± 3.8 nmol/L</li><li>IIEF-EF (mean ± SD): 11.64 ± 10.05</li><li>PSA (mean ± SD): 1.4 ± 1.2 ng/mL</li></ul>",<p><b>Group A: </b>1000 mg TU IM</p><p><b>Group B: </b>placebo injection</p><p><b>Follow-up:</b> 30 weeks</p>,"<p><b>Primary outcomes</b></p><ul><li>Change in glycemic control</li></ul><p>How measured: HbA1c</p><p>Time points measured: screening, 6, 18, 30 weeks</p><p>Time points reported: NA</p><p><b>Secondary outcomes</b></p><ol><li>Erectile function</li><li>Sexual desire</li></ol><p>How measured:</p><ol><li>IIEF-EF</li><li>Sexual desire domain of IIEF</li></ol><p>Time points measured: screening, 6, 18, 30 weeks</p><p>Time points reported: screening, 6, 18, 30 weeks</p><p><b>Safety outcomes</b></p><p>How measured: NA</p><p>Time points measured: NA</p><p>Time points reported: NA</p><p><b>Subgroup:</b></p><ul><li>Hypogonadism: mild (TT: 8.1 to 12 nmol/L or FT: 0.181 to 0.25 nmol/L), severe (TT: ≤ 8.0 nmol/L and FT: ≤ 0.18 nmol/L)</li></ul>",<p>NA</p>,"<p>Funding sources: Bayer</p><p>Declarations of interest: grant from Bayer, honoraria for serving as a speaker for Bayer, Besins, or European Society for Sexual Medicine</p>",<p>To assess the impact of TRT on men with T2DM</p>,<p><b>Language of publication: </b>English</p>
Hakobyan 2013,2013,PUB,22923528,,"<p><b>Study design: </b>randomized, placebo-controlled, double-blind, parallel-group study</p><p><b>Setting/country: </b>multicenter/NA</p><p><b>Dates when study was conducted: </b>NA</p>","<p><b>Inclusion criteria: </b>men with arteriogenic ED as evaluated by dynamic color duplex ultrasound studies, normal sexual desire but testosterone and FT in the lower quartile of normal range (low-normal), not responding to tadalafil treatment (10 mg) on 6 consecutive attempts</p><p><b>Exclusion criteria: </b>NA</p><p><b>Total number of participants randomly assigned: </b>NA</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: NA</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): NA</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: NA</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): NA</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul>",<p><b>Group A: </b>5 mg/day of 1% T gel + as adjunctive therapy to 10 mg tadalafil</p><p><b>Group B: </b>5 mg placebo gel as adjunctive therapy to 10 mg tadalafil</p><p><b>Follow-up: </b>12 weeks</p>,<p><b>Primary outcomes</b></p><ul><li>Measurement of flow parameters</li></ul><p>How measured: dynamic color duplex ultrasound</p><p>Time points measured: before and after 1 month of therapy</p><p>Time points reported: NA</p><p><b>Secondary outcomes</b></p><ol><li>Erectile function</li><li>Sexual quality of life</li></ol><p>How measured:&nbsp;</p><ol><li>Total and erectile function of IIEF</li><li>GAQ</li></ol><p>Time points measured: before and after 1 month of therapy</p><p>Time points reported: </p><ol><li>4 weeks</li><li>NA</li></ol><p><b>Safety outcomes</b></p><p>How measured: NA</p><p>Time points measured: NA</p><p>Time points reported: NA</p><p><b>Subgroup:</b> none</p>,<p>NA</p>,<p>Funding sources: none</p><p>Declarations of interest: NR</p>,<p>To compare the efficacy of testosterone gel (T gel) versus placebo as adjunctive therapy to tadalafil in hypogonadal men with erectile dysfunction who do not respond to tadalafil alone</p>,<p><b>Language of publication: </b>English</p>
Haren 2005,2005,PUB,22923530,,"<p><b>Study design: </b>randomized, double-blind</p><p><b>Setting/country: </b>NA</p><p><b>Dates when study was conducted: </b>NA</p>","<p><b>Inclusion criteria:</b></p><ul><li>Aged 60 years or older</li><li>At least 2 symptoms on the ADAM questionnaire</li><li>FT index between 0.3 and 0.5</li><li>TT greater than 8nmol/L</li></ul><p><b>Exclusion criteria:</b></p><ul><li>History or presence of prostate cancer or a PSA &gt; 5 ng/mL</li><li>Score of greater than 20 on the IPSS</li><li>Suggestion of significant urinary obstruction</li><li>Abnormal prostate on digital rectal examination</li><li>History of testicular, liver or renal disease, diabetes mellitus, cardiac failure, a score of greater than 15 on the Geriatric Depression Scale, significant joint pain, prior use of androgen, bisphosphonates, oral, intravenous or intraarticular glucocorticoid within the preceding 6 months or hematocrit greater than 50%</li></ul><p><b>Total number of participants randomly assigned: </b>76</p><p><b>Group A</b></p><ul><li>Number of all participants randomly assigned: 39</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): NA</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul><p><b>Group B</b></p><ul><li>Number of all participants randomly assigned: 37</li><li>Age (mean ± SD): NA</li><li>BMI (mean ± SD): NA</li><li>Testosterone (mean ± SD): NA</li><li>EF (mean ± SD): NA</li><li>PSA (mean ± SD): NA</li></ul>","<p><b>Group A: </b>TU (Andriol®, Organon, Oss, The Netherlands) 80 mg orally, twice daily</p><p><b>Group B:</b> placebo</p><p><b>Follow-up: </b>12 months</p>","<p><b>Primary outcomes</b></p><ul><li>Symptom</li></ul><p>How measured: St Louis University ADAM symptoms</p><p>Time points measured: screening, 6 and 12 months</p><p>Time points reported: baseline, 12 months</p><p><b>Secondary outcomes</b></p><ul><li>Blood test</li></ul><p>How measured: TT, calculated bioavailable testosterone</p><p>Time points measured: baseline, 1, 3, 6, 12 months</p><p>Time points reported: baseline, 12&nbsp;months</p><p><b>Safety outcomes</b></p><p>How measured: recorded</p><p>Time points measured: NA</p><p>Time points reported: NA</p><p><b>Subgroup:</b></p><ul><li>Bioavailable testosterone &lt; 3.1, bioavailable testosterone ≥ 3.1</li></ul>",<p>NA</p>,<p>Funding sources: Organon Pty Ltd and the University of Adelaide</p><p>Declarations of interest: Organon Pty Ltd </p>,"<p>To assess the effect of 12 months of treatment with oral TU on symptoms of testosterone deficiency, in elderly men with 2 or more symptoms on the St Louis University ADAM questionnaire and a testosterone level in the low–normal range relative to young men</p>",<p><b>Language of publication: </b>English</p>
