Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): All outcomes,Domain (support): Blinding of participants and personnel (performance bias): All outcomes,Domain (judgement): Blinding of outcome assessment (detection bias): All outcomes,Domain (support): Blinding of outcome assessment (detection bias): All outcomes,Domain (judgement): Incomplete outcome data (attrition bias): Erectile function,Domain (support): Incomplete outcome data (attrition bias): Erectile function,Domain (judgement): Incomplete outcome data (attrition bias): Sexual quality of life,Domain (support): Incomplete outcome data (attrition bias): Sexual quality of life,Domain (judgement): Incomplete outcome data (attrition bias): Cardiovascular mortality,Domain (support): Incomplete outcome data (attrition bias): Cardiovascular mortality,Domain (judgement): Incomplete outcome data (attrition bias): Treatment withdrawal due to adverse events,Domain (support): Incomplete outcome data (attrition bias): Treatment withdrawal due to adverse events,Domain (judgement): Incomplete outcome data (attrition bias): Prostate-related events,Domain (support): Incomplete outcome data (attrition bias): Prostate-related events,Domain (judgement): Incomplete outcome data (attrition bias): Lower urinary tract symptoms,Domain (support): Incomplete outcome data (attrition bias): Lower urinary tract symptoms,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Buvat 2011,Low risk,"<p>Quote: ""randomization prepared and kept confidential by the manufacturer, Besins International"".</p>",Low risk,"<p>Quote: ""randomization prepared and kept confidential by the manufacturer, Besins International"".</p>",Low risk,"<p>Judgment: participant, care provider, investigator, and outcomes assessor were blinded (reported in published protocol).</p>",Low risk,"<p>Judgment: participant, care provider, investigator, and outcomes assessor were blinded (reported in published protocol).</p>",Low risk,<p>Judgment: 83/87 (95%) in the experimental group and 84/86 (98%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: 83/87 (95%) in the experimental group and 84/86 (98%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: 83/87 (95%) in the experimental group and 84/86 (98%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: protocol was published and the study outcomes were well described.</p>,Low risk,<p>Judgment: not detected.</p>
Carroll 1984,Unclear risk,"<p>Quote: ""double blind cross-over comparison"".</p>",Unclear risk,"<p>Quote: ""double blind cross-over comparison"".</p>",Unclear risk,"<p>Quote: ""double blind cross-over comparison of testosterone and placebo injection"".</p><p>Judgment: no information about who was blinded.</p>",Low risk,"<p>Quote: ""The interviewer was blind to the method of treatment"".</p>",High risk,<p>Judgment: 17/22 (77%) were included in the analysis.</p>,High risk,<p>Judgment: 17/22 (77%) were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Chiang 2007,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,"<p>Quote: ""This was a double-blind, randomized, placebo-controlled, 3-month study of TTG monotherapy"".</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,"<p>Quote: ""This was a double-blind, randomized, placebo-controlled, 3-month study of TTG monotherapy""</p><p>Judgment: no information about who was blinded.</p>",High risk,<p>Judgment: 15/20 (75%) in the experimental group and 15/20 (75%) in the control group completed the study.</p>,High risk,<p>Judgment: 15/20 (75%) in experimental group and 15/20 (75%) in the control group completed the study.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: 20/20 (100%) in the experimental group and 18/20 (90%) in the control group completed the study.</p>,Low risk,<p>Judgment: 20/20 (100%) in the experimental group and 17/20 (85%) in the control group completed the study.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Unclear risk,<p>Judgment: there are discrepancies in the data (the number of participants and the data for erectile dysfunction reported with IIEF-15) between the two published articles published in 2007 and 2008 (suspected duplicate trial with the same study population).</p>
Gilbert 1992,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,"<p>Quote: ""DOUBLE-BLIND, CROSS-OVER trial""</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,"<p>Quote: ""DOUBLE-BLIND, CROSS-OVER trial""</p><p>Judgment: no information about who was blinded.</p>",High risk,<p>Judgment: 13/20 (65%) men were included in the analysis (no detailed information).</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: abstract only.</p>,Unclear risk,<p>Judgment: abstract only.</p>
Giltay 2010,Low risk,"<p>Quote: ""A randomization procedure was followed with allocation probabilities of 0.7 and 0.3—for the active and placebo treatment groups, respectively, aiming at the inclusion of 250 subjects"".</p>",Low risk,"<p>Quote: ""Identification of trial medication was by numbered sealed packages, and each participant enrolled in the study was assigned one package"".</p>",Low risk,"<p>Quote: ""Identification of trial medication was by numbered sealed packages, and each participant enrolled in the study was assigned one package. It only became apparent which packages had contained TU and which placebo until the code was broken for data analysis. Thus, investigators and patients were blinded until the end of the study.""</p>",Low risk,"<p>Quote: ""Identification of trial medication was by numbered sealed packages, and each participant enrolled in the study was assigned one package. It only became apparent which packages had contained TU and which placebo until the code was broken for data analysis. Thus, investigators and patients were blinded until the end of the study.""</p>",Low risk,<p>Judgment: 105/113 (93%) in the experimental group and 65/71 (92%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: 105/113 (93%) in the experimental group and 65/71 (92%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: protocol was published and the study outcomes were well described.</p>,Low risk,<p>Judgment: not detected.</p>
Gooren 2011,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,"<p>Quote: ""Randomised, double-blind, placebo-controlled study"".</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,"<p>Quote: ""Randomised, double-blind, placebo-controlled study""</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: abstract only.</p>,Unclear risk,<p>Judgment: abstract only.</p>
Groti 2018,Low risk,"<p>Quote: ""An independent statistician generated the randomization sequence"".</p>",Unclear risk,<p>Judgment: not described.</p>,Unclear risk,"<p>Quote: ""participants and trial investigators were blinded to treatment allocation"".</p><p>Judgment: no information about whether personnel were blinded.</p>",Low risk,"<p>Quote: ""participants and trial investigators were blinded to treatment allocation"".</p>",Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the protocol was registered, all outcomes were not included in the protocol.</p>",Low risk,<p>Judgment: not detected.</p>
Hackett 2017,Low risk,"<p>Quote: ""Randomized in blocks via standard processes adopted during their development programme"".</p>",Low risk,"<p>Quote: ""Identification of trial medication was via numbered sealed packages with each individual assigned to the next lowest package...The code breaks were retained by the study statisticians until the last patient was recruited and the codes were broken after the final procedure and databases were locked.""</p>",Low risk,"<p>Quote: ""Identification of trial medication was via numbered sealed packages with each individual assigned to the next lowest package... The code breaks were retained by the study statisticians until the last patient was recruited and the codes were broken after the final procedure and databases were locked.""</p>",Low risk,"<p>Quote: ""Identification of trial medication was via numbered sealed packages with each individual assigned to the next lowest package...The code breaks were retained by the study statisticians until the last patient was recruited and the codes were broken after the final procedure and databases were locked.""</p>",Low risk,<p>Judgment: 91/97 (95.0%) in the experimental group and 95/102 (93.1%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: 91/97 (95.0%) in the experimental group and 95/102 (93.1%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Hakobyan 2013,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,"<p>Quote: ""randomized, placebo controlled, double blind, parallel group, multicenter study"".</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,"<p>Quote: ""randomized, placebo controlled, double blind, parallel group, multicenter study"".</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: abstract only.</p>,Unclear risk,<p>Judgment: abstract only.</p>
Haren 2005,Low risk,"<p>Quote: ""Randomisation was done using a block design of four in the Almedica Drug Labeling System (Version 5).""</p>",Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: 37/39 (95%) in the experimental group and 30/37 (81%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Hisasue 2015,Unclear risk,"<p>Judgment: not described. The abstract only states: ""We conducted a 12-week, placebo-controlled randomized control trial"".</p>",Unclear risk,<p>Judgment: not described.</p>,Unclear risk,"<p>Quote: ""Double-blind, placebo-controlled clinical trial"".</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,"<p>Quote: ""Double-blind, placebo-controlled clinical trial"".</p><p>Judgment: no information about who was blinded.</p>",Unclear risk,<p>Judgment: 30/31 (97%) in the experimental group and 27/31 (87%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: 30/31 (97%) in the experimental group and 27/31 (87%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: abstract only.</p>,Unclear risk,<p>Judgment: abstract only.</p>
Ho 2012,Unclear risk,<p>Judgment: not described.</p>,Low risk,"<p>Quote: ""After reviewing the baseline assessment results, each participant received an intervention package indexed with a serial number at visit 1... Each serial number with its code for either placebo or active medication was kept in a sealed envelope"".</p>",Low risk,"<p>Quote: ""The supplier of the intervention packages and the envelopes was not involved in any stage of the trial. Hence, the participants, clinical investigators and trial site manager were all blinded to the types of intervention until the trial period was over, when only then, the codes were revealed"".</p>",Low risk,"<p>Quote: ""The supplier of the intervention packages and the envelopes was not involved in any stage of the trial. Hence, the participants, clinical investigators and trial site manager were all blinded to the types of intervention until the trial period was over, when only then, the codes were revealed"".</p>",Low risk,<p>Judgment: 56/60 (93%) in the experimental group and 58/60 (97%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: 56/60 (93%) in the experimental group and 58/60 (97%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: 56/60 (93%) in the experimental group and 58/60 (97%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: 56/60 (93%) in the experimental group and 58/60 (97%) in the control group were included in the analysis.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Kunelius 2002,Unclear risk,<p>Judgment: not described.</p>,Low risk,"<p>Quote: ""The randomization codes identifying the treatment were kept in sealed envelopes and were broken only after all clinical and biochemical analyses were completed. None of the envelopes had to be opened before completing the study"".</p>",Low risk,"<p>Quote: ""The randomization codes identifying the treatment were kept in sealed envelopes and were broken only after all clinical and biochemical analyses were completed. None of the envelopes had to be opened before completing the study"".</p>",Low risk,"<p>Quote: ""The randomization codes identifying the treatment were kept in sealed envelopes and were broken only after all clinical and biochemical analyses were completed. None of the envelopes had to be opened before completing the study"".</p>",Low risk,<p>Judgment: 54/60 (90%) in the experimental group and 60/60 (100%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: 54/60 (90%) in the experimental group and 60/60 (100%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: 54/60 (90%) in the experimental group and 60/60 (100%) in the control group were included in the analysis.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Legros 2009,Low risk,"<p>Quote: ""the sequence generated by some rule based on enrollment...Subjects were assigned a subject code number in keeping with the order of their enrollment in the clinical trial, i.e. the first subject received the first (lowest) number and each subsequent subject received an increasing number, with a block size of four"".</p>",Low risk,"<p>Quote: ""Sequentially numbered, opaque, sealed envelopes...Subjects were assigned a subject code number in keeping with the order of their enrollment in the clinical trial, i.e. the first subject received the first (lowest) number and each subsequent subject received an increasing number, with a block size of four"".</p>",Low risk,"<p>Quote: ""multicenter, randomized, double-blind, placebo-controlled clinical trial...subjects were treated for 12 months with oral TU capsules, each containing 40 mg TU (Andriol Testocaps) or identical placebo"".</p>",Low risk,"<p>Quote: ""multicenter, randomized, double-blind, placebo-controlled clinical trial...subjects were treated for 12 months with oral TU capsules, each containing 40 mg TU (Andriol Testocaps) or identical placebo"".</p>",Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,High risk,<p>Judgment: 170/237 (71%) in the experimental group and 59/79 (74%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: protocol was published and the study outcomes were well described.</p>,Low risk,<p>Judgment: not detected.</p>
Li 2013,Low risk,"<p>Quote: ""A total of 90 patients with ED were randomly divided into control group according to random number table"".</p>",Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Low risk,<p>Judgment: 42/45 (93%) in the experimental group and 43/45 (96%) in the control group were included in the analysis.</p>,Low risk,<p>Judgment: 42/45 (93%) in the experimental group and 43/45 (96%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>Judgment: all participants were included in the analysis.</p>,Low risk,<p>Judgment: 42/45 (93%) in the experimental group and 43/45 (96%) in the control group were included in the analysis.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
Lincoff 2023,Low risk,"<p>Quote: ""randomized using an interactive response technology system in a 1:1 ratio"".</p>",Low risk,"<p>Quote: ""randomized using an interactive response technology system in a 1:1 ratio"".</p>",Low risk,"<p>Quote: ""The subjects, study personnel, and the sponsor are blinded to the subject’s allocation"".</p>",Unclear risk,"<p>Quote: ""The subjects, study personnel, and the sponsor are blinded to the subject’s allocation"".</p>",Unclear risk,<p>Judgment: not all participants were included in the analysis (erectile function in men with low libido only was reported).</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: the number of participants in the analysis was not reported (reported as time to outcome data).</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: the number of participants in the analysis was not reported (reported as time to outcome data).</p>,Unclear risk,<p>Judgment: not measured.</p>,Low risk,<p>&nbsp;Judgment: protocol was published and the study outcomes were well described.</p>,Low risk,<p>Judgment: not detected.</p>
Lu 2003,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: not described.</p>,Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,<p>Judgment: the number of participants in the analysis was not reported.</p>,Unclear risk,<p>Judgment: not measured.</p>,Unclear risk,"<p>Judgment: while the study outcomes were well described, protocol registration was not specified.</p>",Low risk,<p>Judgment: not detected.</p>
