Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,11,Subgroup analysis: eczema by 2 years by period of supplementation,"Probiotic compared with no probiotic by 2 years ",Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,533,1852,582,1710,0.873774,0.788452,0.968328,,,0.004834,,,19.917432,18,0.337487,9.626903,2.573881,,0.010056,1.332022,1,0.248446,24.926141,analysis:452515005437346833
2,1,Eczema by 2 years of age,Synbiotic compared with no synbiotic by 2 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,156,609,188,626,0.877048,0.523959,1.468078,,,0.121078,,,6.602242,2,0.036842,69.707262,0.499148,,0.617675,,,,,analysis:421246649400552723
2,2,Food allergy by 2 years of age,Synbiotic compared with no synbiotic by 2 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,15,108,15,115,1.064815,0.547196,2.072073,,,0.0,,,0.0,0,1.0,0.0,0.184886,,0.853319,,,,,analysis:452515272303084641
2,3,Sensitivity analysis: eczema by 2 years of age by definition of allergic disease,Synbiotic compared with no synbiotic by 2 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438745700036521668
2,4,Subgroup analysis: eczema by 2 years of age by risk of allergy,Synbiotic compared with no synbiotic by 2 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,156,609,188,626,0.877048,0.523959,1.468078,,,0.121078,,,6.602242,2,0.036842,69.707262,0.499148,,0.617675,0.143177,1,0.705143,0.0,analysis:452515445947795013
2,5,Subgroup analysis: eczema by 2 years of age by synbiotic type,Synbiotic compared with no synbiotic by 2 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,156,609,188,626,0.877048,0.523959,1.468078,,,0.121078,,,6.602242,2,0.036842,69.707262,0.499148,,0.617675,1.414872,1,0.234249,29.322251,analysis:452515522615215765
2,6,Subgroup analysis: eczema by 2 years of age by period of supplementation,Synbiotic compared with no synbiotic by 2 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,156,609,188,626,0.877048,0.523959,1.468078,,,0.121078,,,6.602242,2,0.036842,69.707262,0.499148,,0.617675,0.143177,1,0.705143,0.0,analysis:452516435002690921
3,1,Asthma by 10 years of age,Probiotic compared with no probiotic by 10 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,69,396,61,382,1.082174,0.788002,1.486166,,,0.0,,,2.527347,4,0.639746,0.0,0.487925,,0.625603,,,,,analysis:452516537994087981
3,2,Eczema by 10 years of age,Probiotic compared with no probiotic by 10 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,383,1075,348,890,0.893887,0.760517,1.050646,,,0.021137,,,12.037977,7,0.099317,41.850696,1.360688,,0.173612,,,,,analysis:452516568852631093
3,3,Allergic rhinitis by 10 years of age,Probiotic compared with no probiotic by 10 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,70,480,57,432,1.111865,0.745918,1.657346,,,0.051271,,,6.306739,5,0.277506,20.719729,0.520651,,0.60261,,,,,analysis:452516655743405952
3,4,Sensitivity analysis: eczema by 10 years of age by definition of allergic disease,Probiotic compared with no probiotic by 10 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,420,1231,382,1043,0.908911,0.78396,1.053778,,,0.01826,,,13.827667,9,0.128589,34.9131,1.265751,,0.205602,0.573618,1,0.448825,0.0,analysis:452517032640158499
3,5,Sensitivity analysis: asthma by 10 years of age by risk of bias,Probiotic compared with no probiotic by 10 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,17,94,15,90,1.085106,0.577179,2.040019,,,0.0,,,0.0,0,1.0,0.0,0.253589,,0.799813,,,,,analysis:454709732243440970
3,6,Sensitivity analysis: eczema by 10 years of age by risk of bias,Probiotic compared with no probiotic by 10 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,162,403,118,246,0.857339,0.633785,1.159747,,,0.028563,,,2.348985,1,0.125365,57.428429,0.998535,,0.31802,,,,,analysis:454710052077209017
3,7,Subgroup analysis: eczema by 10 years of age by risk of allergy,Probiotic compared with no probiotic by 10 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:421246649396358257
3,8,Subgroup analysis: eczema by 10 years of age by method of feeding,Probiotic compared with no probiotic by 10 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:439355490336281115
3,9,Subgroup analysis: eczema by 10 years of age by probiotic type,Probiotic compared with no probiotic by 10 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438315906565284432
3,10,Subgroup analysis: eczema by 10 years of age by period of supplementation,Probiotic compared with no probiotic by 10 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438315906577080943
4,1,Asthma by 10 years of age,Synbiotic compared with no synbiotic by 10 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,58,445,63,446,0.922704,0.66229,1.285513,,,0.0,,,0.0,0,1.0,0.0,0.475485,,0.634441,,,,,analysis:439227153937533041
4,2,Eczema by 10 years of age,Synbiotic compared with no synbiotic by 10 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,175,445,193,446,0.908773,0.77683,1.063127,,,0.0,,,0.0,0,0.0,0.0,1.195157,,0.232026,,,,,analysis:452517255697702980
4,3,Allergic rhinitis by 10 years of age,Synbiotic compared with no synbiotic by 10 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,92,445,85,446,1.084785,0.833075,1.412548,,,0.0,,,0.0,0,1.0,0.0,0.604158,,0.545738,,,,,analysis:452517270219694150
4,4,Sensitivity analysis: eczema by 10 years of age by definition of allergic disease,Synbiotic compared with no synbiotic by 10 years,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,282,890,305,892,0.92396,0.811633,1.051832,,,0.0,,,0.137086,1,0.711195,0.0,1.195856,,0.231753,0.135128,1,0.713174,0.0,analysis:452517281843683404
