Analysis group,Analysis number,Analysis name,Subgroup,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,13,Intravenous glucose tolerance test (IVGTT) insulin sensitivity,,Puurunen 2013,2009,0.0,0.0,3.4,1.8,0,15,6.9,4.4,0,13,0.0,0.0,100.0,-3.5,-6.059409,-0.940591,After 6 months' treatment
2,1,Resumption of menstrual regularity (spontaneous menses per 6 months),,Banaszewska 2011,2009,0.0,0.0,1.7,1.1,0,36,1.1,1.1,0,33,0.0,0.0,0.0,0.6,0.080414,1.119586,
2,2,Body mass index (kg/m2),,Banaszewska 2011,2009,0.0,0.0,-1.35,2.3,0,36,-0.93,1.0,0,33,0.0,0.0,100.0,-0.42,-1.24516,0.40516,After 6 months' treatment
2,3,Improvement in hirsutism (Ferriman-Gallwey score),,Banaszewska 2011,2009,0.0,0.0,-1.0,0.9,0,36,-0.84,2.010597,0,33,0.0,0.0,0.0,-0.16,-0.906332,0.586332,After 6 months' treatment
2,4,Improvement in acne severity (score),,Banaszewska 2011,2009,0.0,0.0,-1.06,0.84,0,36,-0.75,0.689348,0,33,0.0,0.0,0.0,-0.31,-0.6714,0.0514,After 6 months' treatment
2,5,Improvement in testosterone level (nmol/L),,Banaszewska 2011,2009,0.0,0.0,-0.55,0.62,0,36,-0.52,0.8,0,33,0.0,0.0,0.0,-0.03,-0.369881,0.309881,After 6 months' treatment
2,6,Total cholesterol (mmol/L),,Banaszewska 2011,2009,0.0,0.0,-0.9,0.87,0,36,0.07,0.69,0,33,0.0,0.0,0.0,-0.97,-1.339037,-0.600963,After 6 months' treatment
2,7,Low-density lipoprotein (LDL) cholesterol (mmol/L),,Banaszewska 2011,2009,0.0,0.0,-0.83,0.69,0,36,0.06,0.63,0,33,0.0,0.0,0.0,-0.89,-1.201457,-0.578543,After 6 months' treatment
2,8,High-density lipoprotein (HDL) cholesterol (mmol/L),,Banaszewska 2011,2009,0.0,0.0,-0.02,0.28,0,36,0.01,0.32,0,33,0.0,0.0,0.0,-0.03,-0.172429,0.112429,After 6 months' treatment
2,9,Triglyceride levels (mmol/L),,Banaszewska 2011,2009,0.0,0.0,-0.15,0.48,0,36,0.14,0.47,0,33,0.0,0.0,0.0,-0.29,-0.514276,-0.065724,After 6 months' treatment
2,10,Fasting insulin (μIU/L),,Banaszewska 2011,2009,0.0,0.0,-1.73,4.56,0,36,0.72,5.74,0,33,0.0,0.0,0.0,-2.45,-4.910525,0.010525,After 6 months' treatment
3,1,Body mass index (kg/m2),,Duleba 2006,2006,0.0,0.0,0.09,0.556525,0,24,0.04,1.006482,0,24,0.0,0.0,0.0,0.05,-0.410127,0.510127,After 3 months' treatment
3,2,Improvement in hirsutism (Ferriman-Gallwey score),,Duleba 2006,2006,0.0,0.0,-0.25,0.529452,0,24,-0.13,0.482673,0,24,0.0,0.0,100.0,-0.12,-0.406632,0.166632,After 3 months' treatment
3,3,Improvement in testosterone level (nmol/L),,Duleba 2006,2006,0.0,0.0,-1.2,0.923595,0,24,-0.38,1.065687,0,24,0.0,0.0,100.0,-0.82,-1.384195,-0.255805,After 3 months' treatment
3,4,Total cholesterol (mmol/L),,Duleba 2006,2006,0.0,0.0,-0.53,0.698617,0,24,0.4,0.722299,0,24,0.0,0.0,0.0,-0.93,-1.332028,-0.527972,After 3 months' treatment
3,5,Low-density lipoprotein (LDL) cholesterol (mmol/L),,Duleba 2006,2006,0.0,0.0,-0.67,0.817026,0,24,0.07,0.568366,0,24,0.0,0.0,0.0,-0.74,-1.138185,-0.341815,After 3 months' treatment
3,6,High-density lipoprotein (HDL) cholesterol (mmol/L),,Duleba 2006,2006,0.0,0.0,0.15,0.319706,0,24,0.21,0.24866,0,24,0.0,0.0,0.0,-0.06,-0.22204,0.10204,After 3 months' treatment
3,7,Triglyceride levels (mmol/L),,Duleba 2006,2006,0.0,0.0,0.04,0.296024,0,24,0.22,0.485479,0,24,0.0,0.0,0.0,-0.18,-0.407488,0.047488,After 3 months' treatment
3,8,Fasting insulin (μIU/L),,Duleba 2006,2006,0.0,0.0,1.6,4.499566,0,24,1.0,5.210024,0,24,0.0,0.0,0.0,0.6,-2.154152,3.354152,After 3 months' treatment
3,9,Homeostatic model assessment (HOMA) for insulin resistance,,Duleba 2006,2006,0.0,0.0,-1.49,2.924718,0,24,-0.33,4.156178,0,24,0.0,0.0,0.0,-1.16,-3.193228,0.873228,After 3 months' treatment
4,1,Resumption of menstrual regularity (spontaneous menses per 6 months),,Banaszewska 2011,2009,0.0,0.0,1.6,1.058301,0,28,1.1,1.148913,0,33,0.0,0.0,0.0,0.5,-0.054362,1.054362,After 6 months' treatment
4,2,Body mass index (kg/m2),,Banaszewska 2011,2009,0.0,0.0,-0.35,0.793725,0,28,-0.93,0.804239,0,33,0.0,0.0,49.159989,0.58,0.177849,0.982151,After 6 months' treatment
4,2,Body mass index (kg/m2),,Mehrabian 2016,2016,0.0,0.0,-1.13,0.391,0,34,-0.29,0.356,0,34,0.0,0.0,50.840011,-0.84,-1.017742,-0.662258,After 6 months' treatment
4,3,Waist circumference (cm),,Mehrabian 2016,2016,0.0,0.0,-2.79,1.61,0,34,-1.15,0.784,0,34,0.0,0.0,100.0,-1.64,-2.241924,-1.038076,After 6 months' treatment
4,4,Improvement in hirsutism (Ferriman-Gallwey score),,Banaszewska 2011,2009,0.0,0.0,-1.1,0.52915,0,28,-0.84,2.010597,0,33,0.0,0.0,0.0,-0.26,-0.973438,0.453438,After 6 months' treatment
4,5,Improvement in acne severity (score),,Banaszewska 2011,2009,0.0,0.0,-0.93,0.687895,0,28,-0.75,0.689348,0,33,0.0,0.0,0.0,-0.18,-0.526753,0.166753,After 6 months' treatment
4,6,Improvement in testosterone level (nmol/L),,Banaszewska 2011,2009,0.0,0.0,-0.76,0.52915,0,28,-0.52,0.804239,0,33,0.0,0.0,0.0,-0.24,-0.577205,0.097205,After 6 months' treatment
4,7,Total cholesterol (mmol/L),,Banaszewska 2011,2009,0.0,0.0,-0.92,0.84,0,28,0.07,0.69,0,33,0.0,0.0,0.0,-0.99,-1.380162,-0.599838,After 6 months' treatment
4,8,Low-density lipoprotein (LDL) cholesterol (mmol/L),,Banaszewska 2011,2009,0.0,0.0,-0.85,0.69,0,28,0.06,0.63,0,33,0.0,0.0,0.0,-0.91,-1.243947,-0.576053,After 6 months' treatment
4,9,High-density lipoprotein (HDL) cholesterol (mmol/L),,Banaszewska 2011,2009,0.0,0.0,-0.07,0.38,0,28,0.01,0.32,0,33,0.0,0.0,1.43887,-0.08,-0.258132,0.098132,After 6 months' treatment
4,9,High-density lipoprotein (HDL) cholesterol (mmol/L),,Mehrabian 2016,2016,0.0,0.0,-0.01,0.04,0,34,-0.01,0.05,0,34,0.0,0.0,98.56113,0.0,-0.021523,0.021523,After 6 months' treatment
4,10,Triglyceride levels (mmol/L),,Banaszewska 2011,2009,0.0,0.0,-0.04,0.24,0,28,0.14,0.47,0,33,0.0,0.0,25.548198,-0.18,-0.363349,0.003349,After 6 months' treatment
4,10,Triglyceride levels (mmol/L),,Mehrabian 2016,2016,0.0,0.0,-0.28,0.3,0,34,-0.08,0.11,0,34,0.0,0.0,74.451802,-0.2,-0.307404,-0.092596,After 6 months' treatment
4,11,High-sensitivity C-reactive protein (nmol/L),,Mehrabian 2016,2016,0.0,0.0,-2.0,2.54,0,34,-0.38,1.45,0,34,0.0,0.0,100.0,-1.62,-2.603096,-0.636904,After 6 months' treatment
4,12,Fasting insulin (μIU/L),,Banaszewska 2011,2009,0.0,0.0,-0.29,3.01616,0,28,0.72,5.74456,0,33,0.0,0.0,0.0,-1.01,-3.266003,1.246003,After 6 months' treatment
5,1,Body mass index (kg/m2),,Mehrabian 2016,2016,0.0,0.0,-1.13,0.391,0,34,-0.08,0.345,0,34,0.0,0.0,0.0,-1.05,-1.225274,-0.874726,After 6 months' treatment
5,2,Waist circumference (cm),,Mehrabian 2016,2016,0.0,0.0,-2.79,1.61,0,34,-0.88,0.64,0,34,0.0,0.0,0.0,-1.91,-2.492361,-1.327639,After 6 months' treatment
5,3,High-density lipoprotein (HDL) cholesterol (mmol/L),,Mehrabian 2016,2016,0.0,0.0,-0.01,0.04,0,34,-0.01,0.04,0,34,0.0,0.0,0.0,0.0,-0.019014,0.019014,After 6 months' treatment
5,4,Triglycerides (mmol/L),,Mehrabian 2016,2016,0.0,0.0,-0.28,0.3,0,34,-0.14,0.05,0,34,0.0,0.0,0.0,-0.14,-0.24223,-0.03777,After 6 months' treatment
5,5,High-sensitivity C-reactive protein (nmol/L),,Mehrabian 2016,2016,0.0,0.0,-2.0,2.54,0,34,-2.48,3.32,0,34,0.0,0.0,0.0,0.48,-0.925092,1.885092,After 6 months' treatment
