Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Subgroup estimates,Overall estimates,Test for subgroup differences,Swap event and non-event,Study CI,Estimate CI,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,Heterogeneity Tau²,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,11,Fasting insulin (μIU/L),Statin versus placebo,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,43,,42,-0.307077,-5.179571,4.565417,10.168991,4.437896,2,0.108724,54.933598,0.123522,0.901694,4.437896,2,0.108724,54.933598,analysis:402823397466422079
1,12,Homeostatic model assessment for insulin resistance,Statin versus placebo,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,true,true,true,false,95%,95%,,19,,18,-1.1,-2.354989,0.154989,,0.0,0,1.0,0.0,1.717911,0.085813,,,,,analysis:402823397474548552
1,13,Intravenous glucose tolerance test (IVGTT) insulin sensitivity,Statin versus placebo,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,true,false,true,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:429761988952616085
2,1,Resumption of menstrual regularity (spontaneous menses per 6 months),Statin plus metformin versus metformin alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:415669234300614527
2,2,Body mass index (kg/m2),Statin plus metformin versus metformin alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,true,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:415669234300614529
2,3,Improvement in hirsutism (Ferriman-Gallwey score),Statin plus metformin versus metformin alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:427739905241394788
2,4,Improvement in acne severity (score),Statin plus metformin versus metformin alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:427739935711440493
2,5,Improvement in testosterone level (nmol/L),Statin plus metformin versus metformin alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:415669234300614534
2,6,Total cholesterol (mmol/L),Statin plus metformin versus metformin alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:442394469809410077
2,7,Low-density lipoprotein (LDL) cholesterol (mmol/L),Statin plus metformin versus metformin alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:442394662391664818
2,8,High-density lipoprotein (HDL) cholesterol (mmol/L),Statin plus metformin versus metformin alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:415669234300614538
2,9,Triglyceride levels (mmol/L),Statin plus metformin versus metformin alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:415669234300614536
2,10,Fasting insulin (μIU/L),Statin plus metformin versus metformin alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:415669234300614545
3,1,Body mass index (kg/m2),Statin plus oral contraceptive pill (OCP) versus OCP alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:415669234317129636
3,2,Improvement in hirsutism (Ferriman-Gallwey score),Statin plus oral contraceptive pill (OCP) versus OCP alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,true,true,true,false,95%,95%,,24,,24,-0.12,-0.406632,0.166632,,0.0,0,1.0,0.0,0.820549,0.411903,,,,,analysis:415710349666382803
3,3,Improvement in testosterone level (nmol/L),Statin plus oral contraceptive pill (OCP) versus OCP alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,true,true,true,false,95%,95%,,24,,24,-0.82,-1.384195,-0.255805,,0.0,0,1.0,0.0,2.84861,0.004391,,,,,analysis:415669234317129640
3,4,Total cholesterol (mmol/L),Statin plus oral contraceptive pill (OCP) versus OCP alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:436442229708988890
3,5,Low-density lipoprotein (LDL) cholesterol (mmol/L),Statin plus oral contraceptive pill (OCP) versus OCP alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:442394922936324370
3,6,High-density lipoprotein (HDL) cholesterol (mmol/L),Statin plus oral contraceptive pill (OCP) versus OCP alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:415669234317129644
3,7,Triglyceride levels (mmol/L),Statin plus oral contraceptive pill (OCP) versus OCP alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:442394925714002201
3,8,Fasting insulin (μIU/L),Statin plus oral contraceptive pill (OCP) versus OCP alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:415669234317129651
3,9,Homeostatic model assessment (HOMA) for insulin resistance,Statin plus oral contraceptive pill (OCP) versus OCP alone,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:415669234317129653
4,1,Resumption of menstrual regularity (spontaneous menses per 6 months),Statin versus metformin,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:412765961458830391
4,2,Body mass index (kg/m2),Statin versus metformin,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,62,,67,-0.141928,-1.533306,1.24945,0.983038,40.068342,1,0.0,97.504264,0.199927,0.841538,,,,,analysis:402823397482675027
4,3,Waist circumference (cm),Statin versus metformin,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:442396166013736087
4,4,Improvement in hirsutism (Ferriman-Gallwey score),Statin versus metformin,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:412765961487666246
4,5,Improvement in acne severity (score),Statin versus metformin,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:412765961499987019
4,6,Improvement in testosterone level (nmol/L),Statin versus metformin,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:402823397491063649
4,7,Total cholesterol (mmol/L),Statin versus metformin,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:402823397494995813
4,8,Low-density lipoprotein (LDL) cholesterol (mmol/L),Statin versus metformin,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:442396360448824524
4,9,High-density lipoprotein (HDL) cholesterol (mmol/L),Statin versus metformin,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,true,true,true,false,95%,95%,,62,,67,-0.001151,-0.022519,0.020216,,0.763654,1,0.382188,0.0,0.105586,0.915911,,,,,analysis:436442229653414358
4,10,Triglyceride levels (mmol/L),Statin versus metformin,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,true,true,true,false,95%,95%,,62,,67,-0.19489,-0.287565,-0.102216,,0.034031,1,0.853641,0.0,4.121728,3.8E-5,,,,,analysis:442396362061010132
4,11,High-sensitivity C-reactive protein (nmol/L),Statin versus metformin,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,true,true,true,false,95%,95%,,34,,34,-1.62,-2.603096,-0.636904,,0.0,0,1.0,0.0,3.229738,0.001239,,,,,analysis:402823397511510906
4,12,Fasting insulin (μIU/L),Statin versus metformin,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:402823397511510903
5,1,Body mass index (kg/m2),Statin versus oral contraceptive pill (OCP) plus flutamide,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:414924383683881557
5,2,Waist circumference (cm),Statin versus oral contraceptive pill (OCP) plus flutamide,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:442396569035757011
5,3,High-density lipoprotein (HDL) cholesterol (mmol/L),Statin versus oral contraceptive pill (OCP) plus flutamide,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:436442229745426915
5,4,Triglycerides (mmol/L),Statin versus oral contraceptive pill (OCP) plus flutamide,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:414924383683881562
5,5,High-sensitivity C-reactive protein (nmol/L),Statin versus oral contraceptive pill (OCP) plus flutamide,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Fixed effect,false,false,false,false,95%,95%,,,,,,,,,,,,,,,,,,,analysis:402823397527763852
