Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes,Bias arising from the randomization process (judgement),Bias arising from the randomization process (support),Bias due to deviations from intended interventions (judgement),Bias due to deviations from intended interventions (support),Bias due to missing outcome data (judgement),Bias due to missing outcome data (support),Bias in measurement of the outcome (judgement),Bias in measurement of the outcome (support),Bias in selection of the reported result (judgement),Bias in selection of the reported result (support),Overall bias (judgement),Overall bias (support)
1,6,Sensitivity analysis: eczema by 2 years by definition of allergic disease,Atopic eczema,2,SUBGROUP_AND_OVERALL,Taylor 2006,2006,0.0,0.32241852453867936,0.0,0.0,23,88,0.0,0.0,12,87,0.0,0.10395370496569897,2.932525,1.894886,1.007256,3.564727,,Some concerns,"<p>Computerised randomisation schedule with allocation and dispensing by pharmacy. Groups were stratified and block-randomised according to maternal allergy (asthma compared with other allergies); parity (first child compared with 2 or more children); and paternal allergy (allergy compared with no allergy).</p><p>Recruitment before randomisation. Allocation completed by external personnel, independent from the investigators. Significant differences were seen with birth length (P = 0.013) and birth head circumference (P = 0.023) between the 2 groups as analysed. Other baseline characteristics between groups were balanced with no significant differences reported.</p>",Low risk,"<p>Placebo supplements were image-matched, and participants, research scientists, and paediatrician remained blinded for the duration of the study. Randomisation and allocation of supplements occurred at a separate area from participant recruitment. Supplements were dispensed to participants by persons independent from the allocation process.</p>",Low risk,"<p>Losses to follow up: 8/226 withdrew prior to receiving allocation. 40/226 discontinued intervention: 2 due to non-compliance/found study too demanding, 4 due to colic or apparent abdominal discomfort in the baby, 2 due to postnatal depression, 4 due to unrelated infant health problems, 2 due to infant refusing to take supplement. 178/226 analysed at 6 and 12 months (probiotic group n = 89, placebo group n = 89) with 48/226 (21%) loss to follow-up/discontinued at 12 months. Additional control infant not reported for atopic eczema. 153/226 analysed at 2.5-year assessment with 73/226 (32%) loss to follow-up at 2.5 years. 123/226 analysed at 5-year assessment (probiotic group n = 66, placebo group n = 57) with 103/226 (45%) loss to follow-up.</p><p>Dropout rate was similar across both groups and no indication that missing data was related to health outcomes.</p>",Low risk,"<p>Primary outcome atopic dermatitis and food allergy at 6 and 12 months and evidence of allergen sensitisation at 12 months age. Children were clinically evaluated at 5 years of age, including a detailed history, allergy skin prick testing and physical examinations. Specific definitions for allergy reported. Clinical outcomes were evaluated by the same paediatrician at 5 years of age as at the earlier visits (Prof SL Prescott).</p>",Some concerns,<p>No pre-specified analysis plan found. No clinical trial registry number found.</p>,Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>"
1,6,Sensitivity analysis: eczema by 2 years by definition of allergic disease,Atopic eczema,2,SUBGROUP_AND_OVERALL,Wickens 2008,2008,0.0,0.0,0.0,0.0,33,290,0.0,0.0,27,146,0.0,0.0,4.56529,0.615326,0.385308,0.982658,,Low risk,"<p>Performed by clinical trials pharmacist, stratified by study centre and performed in blocks of 15 according to a computer-generated randomisation list.</p><p>Well-balanced after randomisation. Differences in participation rates at 11 years by outcomes at 6 years were not significant between study groups.</p><p>At enrollment assigned to next sequential study number. Allocation of supplements were performed by external personnel not associated with participants.</p>",Low risk,"<p>All study nurses and participants were blind to treatment assignment for the duration of the study. To evaluate the efficacy of the blinding, the final questionnaire asked participants to indicate whether they believed they were in a probiotic or placebo group.</p>",Low risk,"<p>Losses to follow up: 66/512 (13%). Loss to follow-up prebirth n = 7, not meeting birth criteria n = 31, lost to follow-up n = 28. 35 discontinuation of intervention. 422/512 participants responded to the 6 year follow up (loss to follow up: 90/512 (18%)); L. rhamnosus group n = 134, B. lactis group n = 144, placebo group n = 144. 342/512 participants completed questionnaire at 11 year follow up (loss to follow up: 170/512 (33%); L. rhamnosus group n = 109, B. lactis group n = 118, placebo group n = 115.</p><p>Loss to follow-up and drop out were due to sickness in mother, infant, time management, relocation, unable to be contacted, opposed capsules or declined contact. Reasons were not related to health outcomes measured.&nbsp;</p>",Low risk,"<p>Primary outcome cumulative prevalence of eczema by 2 years. Specific definitions for eczema and allergic disease reported.</p><p>The research staff were trained in determining eczema by using an internationally recognised training manual for defining atopic eczema (SCORAD). This occurred for all participants regardless of whether they had been diagnosed with eczema. Allergy testing was performed by the study nurse, using a panel of allergens shown to detect 90% of atopic children at 15 months.</p>",Low risk,<p>Pre-specified analysis plan provided. ACTRN12607000518460.</p>,Low risk,<p>The study is judged to be at low risk of bias for all domains for this result.</p>
1,7,Sensitivity analysis: eczema by 2 years by risk of bias,,,SUBGROUP_AND_OVERALL,Abrahamsson 2007,2007,0.0,0.19845090260405887,0.0,0.0,34,95,0.0,0.0,32,93,0.0,0.039382760744365655,33.113854,1.040132,0.704963,1.534652,,Low risk,"<p>Randomisation was stratified for each study centre. Each centre was provided an allocation list with unique identification numbers for each participant. Groups well balanced.</p><p>Randomised before delivery. Before the delivery, each bottle was labelled and randomly mixed by an independent contract manufacturer.</p>",Low risk,"<p>Randomised before delivery. Before the delivery, each bottle was labelled and randomly mixed by an independent contract manufacturer.</p><p>Placebo used. Daily intake 5 oil droplets. The placebo consisted of the same oil without any bacteria and was not possible to differentiate from the active product by smell, taste, or visual appearance.</p><p>Placebo used. Quote: ""none of the investigators or the pharmacies at the trial sites has access to the code.""</p>",Low risk,"<p>Losses to follow up: but excluded if admitted to neonatal ward, declined participation or poor compliance. Exclusions included discontinued before delivery (5), admitted to neonatal ward (18), declined participation after randomisation (19) or non-compliers with treatment (2). Reason for missing data is not related to participant outcomes. Completed study at 2 years: probiotic group 95/117 (81%); placebo group 93/115 (81%). 184 (79%) families with allergic disease completed follow-up study at 7 years: probiotic group 94; placebo group 90.</p>",Low risk,<p>The aim of the current study was to assess the effect of oral supplementation with L reuteri in infancy on eczema development and sensitisation during the first 2 years of life. Specific definitions for outcomes described as part of the diagnostic criteria.</p>,Low risk,"<p>Planned analyses provided, although no specification of whether there were any deviations from the planned analysis. NCT01285830.</p>",Low risk,<p>The study is judged to be at low risk of bias for all domains for this result.</p>
1,7,Sensitivity analysis: eczema by 2 years by risk of bias,,,SUBGROUP_AND_OVERALL,Cabana 2007,2007,0.0,0.22628558647745445,0.0,0.0,26,92,0.0,0.0,29,92,0.0,0.05120516664744551,25.468426,0.896552,0.575388,1.396979,,Low risk,<p>Group assignment was based on the output from a computer-generated randomisation program that was accessed by the study coordinator once eligibility and consent was obtained.</p><p>Group allocation and the randomisation sequence were concealed from the study staff and investigators to further eliminate conscious or unconscious selection bias. Participants were randomly assigned after enrolment in the nursery.</p><p>Groups are balanced and similar in characteristics.</p>,Low risk,"<p>Participants, parents, study staff, and investigators were blinded to group assignment. The control capsule did not differ from the active capsule in terms of appearance, taste, smell or texture. After the end of the intervention period at 6 months, parents were surveyed to determine if they could correctly identify whether they received the active or control capsule.</p><p>Participants who were accrued earlier had more assessments, bias was avoided by using survival analysis methods that account for variable lengths of follow-up.&nbsp;</p>",Low risk,"<p>Loss to follow up: 10% of mothers per arm discontinued participation before treatment initiation, leaving 184 infants who were randomly assigned and initiated treatment. 95% of infants followed for at least 2 years. 77% for at least 3 years, 46% for at least 5 years. Reason for loss to follow-up at 2 years, 3 years and at least 5 years has not been reported.&nbsp;</p><p>Small number of loss to follow up at 2 years, although reasons for loss to follow-up were not specified.&nbsp;</p>",Low risk,<p>The objective of the study was to determine if probiotic administration during the first 6 months of life affects childhood asthma and eczema. Specific definitions for outcomes described and assessment of outcome was clearly defined.</p>,Low risk,"<p>Pre-planned analyses provided, although no specification of whether there were any deviations from the planned analysis. NCT00113659.</p>",Low risk,<p>The study is judged to be at low risk of bias for all domains for this result.</p>
1,7,Sensitivity analysis: eczema by 2 years by risk of bias,,,SUBGROUP_AND_OVERALL,Savino 2010,2010,0.0,1.6070938313460676,0.0,0.0,0,25,0.0,0.0,1,21,0.0,2.582750582750583,0.504933,0.282051,0.012088,6.580954,,Low risk,<p>Computer generated randomisation list created by an independent statistician.</p><p>Baseline difference (placebo compared with probiotic group) in caesarean delivery rate 25%; compared with 52%; potentially clinically significant although not statistically significant.</p><p>Used 2-treatment randomisation scheme with random block of varying size. Paediatrician allocated the next available product on entry into the trial. Allocations were concealed in sealed envelopes for each site.</p>,Low risk,"<p>Bottles were coded and blinded by the study statistician for both the participants and for the physicians, and the code was revealed to the investigators once recruitment, data collection, and all laboratory and statistical analyses were complete.</p><p>Follow-up visits performed by the same paediatrician.</p><p>Parental interviews, with the aid of a study diary, was used to assess adverse events', such as illness.</p><p>Faecal samples collected directly from sample or anus and samples (blinded) were stored (refrigerated) until analysed.</p>",Low risk,"<p>Loss to follow-up: 4/50 (8%). 0/25 treatment and 4/25 controls excluded post-randomisation - 2 controls excluded due to adverse events (hay fever, gastrointestinal symptoms), 2 excluded due to failure of completing the diary. Cause of missing data were similar across both groups.</p>",Low risk,<p>Primary outcomes measured using parental questionnaires and secondary outcomes measured through appropriate validated methods.</p>,Low risk,"<p>Pre-specified analysis plan, no deviation from pre-specified analysis plan described. NCT00893711.</p>",Low risk,<p>The study is judged to be at low risk of bias for all domains for this result.</p>
1,7,Sensitivity analysis: eczema by 2 years by risk of bias,,,SUBGROUP_AND_OVERALL,Wickens 2008,2008,0.0,0.17853706924363943,0.0,0.0,59,315,0.0,0.0,41,159,0.0,0.031875485094108105,40.912788,0.726365,0.511898,1.030685,,Low risk,"<p>Performed by clinical trials pharmacist, stratified by study centre and performed in blocks of 15 according to a computer-generated randomisation list.</p><p>Well-balanced after randomisation. Differences in participation rates at 11 years by outcomes at 6 years were not significant between study groups.</p><p>At enrollment assigned to next sequential study number. Allocation of supplements were performed by external personnel not associated with participants.</p>",Low risk,"<p>All study nurses and participants were blind to treatment assignment for the duration of the study. To evaluate the efficacy of the blinding, the final questionnaire asked participants to indicate whether they believed they were in a probiotic or placebo group.</p>",Low risk,"<p>Losses to follow up: 66/512 (13%). Loss to follow-up prebirth n = 7, not meeting birth criteria n = 31, lost to follow-up n = 28. 35 discontinuation of intervention. 422/512 participants responded to the 6 year follow up (loss to follow up: 90/512 (18%)); L. rhamnosus group n = 134, B. lactis group n = 144, placebo group n = 144. 342/512 participants completed questionnaire at 11 year follow up (loss to follow up: 170/512 (33%); L. rhamnosus group n = 109, B. lactis group n = 118, placebo group n = 115.</p><p>Loss to follow-up and drop out were due to sickness in mother, infant, time management, relocation, unable to be contacted, opposed capsules or declined contact. Reasons were not related to health outcomes measured.</p>",Low risk,"<p>Primary outcome cumulative prevalence of eczema by 2 years. Specific definitions for eczema and allergic disease reported.</p><p>The research staff were trained in determining eczema by using an internationally recognised training manual for defining atopic eczema (SCORAD). This occurred for all participants regardless of whether they had been diagnosed with eczema. Allergy testing was performed by the study nurse, using a panel of allergens shown to detect 90% of atopic children at 15 months.</p>",Low risk,<p>Pre-specified analysis plan provided. ACTRN12607000518460.</p>,Low risk,<p>The study is judged to be at low risk of bias for all domains for this result.</p>
1,8,Subgroup analysis: eczema by 2 years by risk of allergy,Infant at high risk of allergy or food hypersensitivity,1,SUBGROUP_AND_OVERALL,Abrahamsson 2007,2007,0.0,0.19845090260405887,0.0,0.0,34,95,0.0,0.0,32,93,0.0,0.039382760744365655,6.730812,1.040132,0.704963,1.534652,,Low risk,"<p>Randomisation was stratified for each study centre. Each centre was provided an allocation list with unique identification numbers for each participant. Groups well balanced.</p><p>Randomised before delivery. Before the delivery, each bottle was labelled and randomly mixed by an independent contract manufacturer.</p>",Low risk,"<p>Randomised before delivery. Before the delivery, each bottle was labelled and randomly mixed by an independent contract manufacturer.</p><p>Placebo used. Daily intake 5 oil droplets. The placebo consisted of the same oil without any bacteria and was not possible to differentiate from the active product by smell, taste, or visual appearance.</p><p>Placebo used. Quote: ""none of the investigators or the pharmacies at the trial sites has access to the code.""</p>",Low risk,"<p>Losses to follow up: but excluded if admitted to neonatal ward, declined participation or poor compliance. Exclusions included discontinued before delivery (5), admitted to neonatal ward (18), declined participation after randomisation (19) or non-compliers with treatment (2). Reason for missing data is not related to participant outcomes. Completed study at 2 years: probiotic group 95/117 (81%); placebo group 93/115 (81%). 184 (79%) families with allergic disease completed follow-up study at 7 years: probiotic group 94; placebo group 90.</p>",Low risk,<p>The aim of the current study was to assess the effect of oral supplementation with L reuteri in infancy on eczema development and sensitisation during the first 2 years of life. Specific definitions for outcomes described as part of the diagnostic criteria.</p>,Low risk,"<p>Planned analyses provided, although no specification of whether there were any deviations from the planned analysis. NCT01285830.</p>",Low risk,<p>The study is judged to be at low risk of bias for all domains for this result.</p>
1,8,Subgroup analysis: eczema by 2 years by risk of allergy,Infant at high risk of allergy or food hypersensitivity,1,SUBGROUP_AND_OVERALL,Cabana 2007,2007,0.0,0.22628558647745445,0.0,0.0,26,92,0.0,0.0,29,92,0.0,0.05120516664744551,5.469295,0.896552,0.575388,1.396979,,Low risk,<p>Group assignment was based on the output from a computer-generated randomisation program that was accessed by the study coordinator once eligibility and consent was obtained.</p><p>Group allocation and the randomisation sequence were concealed from the study staff and investigators to further eliminate conscious or unconscious selection bias. Participants were randomly assigned after enrolment in the nursery.</p><p>Groups are balanced and similar in characteristics.</p>,Low risk,"<p>Participants, parents, study staff, and investigators were blinded to group assignment. The control capsule did not differ from the active capsule in terms of appearance, taste, smell or texture. After the end of the intervention period at 6 months, parents were surveyed to determine if they could correctly identify whether they received the active or control capsule.</p><p>Participants who were accrued earlier had more assessments, bias was avoided by using survival analysis methods that account for variable lengths of follow-up.&nbsp;</p>",Low risk,"<p>Loss to follow up: 10% of mothers per arm discontinued participation before treatment initiation, leaving 184 infants who were randomly assigned and initiated treatment. 95% of infants followed for at least 2 years. 77% for at least 3 years, 46% for at least 5 years. Reason for loss to follow-up at 2 years, 3 years and at least 5 years has not been reported.&nbsp;</p><p>Small number of loss to follow up at 2 years, although reasons for loss to follow-up were not specified.&nbsp;</p>",Low risk,<p>The objective of the study was to determine if probiotic administration during the first 6 months of life affects childhood asthma and eczema. Specific definitions for outcomes described and assessment of outcome was clearly defined.</p>,Low risk,"<p>Pre-planned analyses provided, although no specification of whether there were any deviations from the planned analysis. NCT00113659.</p>",Low risk,<p>The study is judged to be at low risk of bias for all domains for this result.</p>
1,8,Subgroup analysis: eczema by 2 years by risk of allergy,Infant at high risk of allergy or food hypersensitivity,1,SUBGROUP_AND_OVERALL,Kalliomaki 2001,2001,0.0,0.2619042741725582,0.0,0.0,15,64,0.0,0.0,31,68,0.0,0.06859384882985452,4.287396,0.514113,0.307698,0.858997,,Some concerns,"<p>Computer-generated, random assignment. Details of allocation concealment are not specified.</p><p>Potentially clinically significant although not statistically significant differences between groups after randomisation (placebo compared with probiotic): Parental smoking 21% compared with 12%; Furry pet at home 11% compared with 21%; boys 52% compared with 64%; Cord blood IgE &gt; 0.5 kU/L 30% compared with 40%. Groups were otherwise well balanced.</p>",Low risk,"<p>Placebo used. Lactobacillus GG and placebo capsules and contents looked, smelled, and tasted identical.</p><p>Quote: ""The physician who did the physical examinations, diagnoses of atopic disease, and antiasthma treatments was unaware of the contents of the capsules"".</p>",Some concerns,"<p>Losses to follow up: 27/159 (17%) lost; at 2 years, probiotic group n = 64, placebo group n = 68. Losses at 1 year reported to be due to non-compliance. 107/159 (67%), 33% loss to follow up completed follow up at 4 years. Followed up at 7 years: 116/159 (73%); probiotic group n = 53, placebo group n = 62. Does not report whether dropouts were related to specific outcomes nor the reason for missing data.</p>",Low risk,<p>Reported primary outcome measure was atopic disease at 2 years. Specific definitions for allergy reported. Reporting of outcomes at multiple time points. Primary outcomes were measured using validated methods.&nbsp;</p>,Low risk,"<p>Pre-planned analyses provided, although no specification of whether there were any deviations from the planned analysis. NCT06035835.</p>",Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>"
1,8,Subgroup analysis: eczema by 2 years by risk of allergy,Infant at high risk of allergy or food hypersensitivity,1,SUBGROUP_AND_OVERALL,Kim 2010,2010,0.0,0.2644114594971631,0.0,0.0,12,33,0.0,0.0,22,35,0.0,0.06991341991341991,4.218222,0.578512,0.344544,0.97136,,Some concerns,<p>Allocated by trials co-ordinator according to computerised randomisation. The groups were stratified and block-randomised in accordance with:</p><ul><li>maternal allergy (allergy compared with no allergy);</li><li>older siblings eczema; and</li><li>number of parents affected by allergic disease (1 compared with 2).</li></ul><p>Potentially clinically significant although not statistically significant differences between groups after randomisation in rates of caesarean delivery and duration of breastfeeding.</p><p>Treatment allocated by trials co-ordinator without detailed knowledge of the clinical history. Allocation was not completed by an external personnel.</p>,Low risk,"<p>Placebo used. The placebo looked, smelled and tasted identical to the probiotic. Participants were blinded.&nbsp;</p><p>Diagnosis and clinical assessment of eczema was performed by a paediatric allergist who remained unaware of the actual treatment administered during the entire study period.</p>",Some concerns,"<p>68/112 (61%) followed to 12 months. 23 participants dropped out before the 3 month follow-up due to declined participation, non-feeding, administration of other probiotic product outside of study, loss connection; 21 infants discontinued the study after 3 months for declined participation, poor compliance, loss connection, non-administration of probiotic or placebo. High number of drop out is of concern although the reasons were described to be unrelated to study intervention.&nbsp;</p><p>In the later group, the occurrence of eczema was 20.0% (2/10) in the probiotic group and 54.5% (6/11) in the placebo group at their last visit.</p>",Low risk,<p>Primary outcome eczema and sensitisation against common food allergens. Specific definitions for eczema and allergic disease reported.</p>,Some concerns,<p>No pre-specified analysis plan. ISRCTN26134979.</p>,High risk,<p>The study is judged to have some concerns for multiple domains in a way that substantially lowers confidence in the result.</p>
1,8,Subgroup analysis: eczema by 2 years by risk of allergy,Infant at high risk of allergy or food hypersensitivity,1,SUBGROUP_AND_OVERALL,Kopp 2008,2008,0.0,0.3347157481126815,0.0,0.0,14,50,0.0,0.0,12,44,0.0,0.11203463203463204,2.784279,1.026667,0.532744,1.978518,,Some concerns,<p>Blocks of 4 according to a computerised randomisation list. Computer randomised and blinded. Allocation concealment was not described.</p><p>No significant differences at baseline between groups in family history of atopy.</p>,Some concerns,"<p>Placebo used (microcrystalline cellulose). LGG and placebo capsules were made identical in appearance, taste, smell and packing. The physicians who conducted the physical examinations and diagnoses of atopic disease were unaware of the contents of the capsules until the end of the study.</p><p>Per-protocol analysis.</p>",Some concerns,<p>11/105 (10.5%) withdrew from the study during the follow-up or were excluded from the analysis because of major protocol violation. No details for the reason of drop-out were detailed.&nbsp;</p>,Low risk,<p>The primary end point was the manifestation of an atopic disease at the age of 2 years. Specific definitions for allergy reported. Primary outcomes were measured by validated and appropriate methods.&nbsp;</p>,Some concerns,<p>No pre-specified analysis plan. UKF00505.</p>,High risk,<p>The study is judged to have some concerns for multiple domains in a way that substantially lowers confidence in the result.</p>
1,8,Subgroup analysis: eczema by 2 years by risk of allergy,Infant at high risk of allergy or food hypersensitivity,1,SUBGROUP_AND_OVERALL,Lau 2012,2012,0.0,0.12960846697773462,0.0,0.0,84,303,0.0,0.0,87,303,0.0,0.016798354712318525,12.032642,0.965517,0.748923,1.244752,,Some concerns,"<p>Study randomisation was assigned by simple randomisation done centrally at SymbioPharm. Every participant was given a randomisation number in ascending order according to the date of appearance at the study site.</p><p>Well-balanced groups, similar baseline characteristics.</p><p>Quote: ""Allocation concealment was provided"". Details of allocation concealment were not specified.</p>",Low risk,"<p>Placebo used. Participants were blinded. Bottles were filled in fully randomised order, and blinding was complete for the study personnel. Unblinding was performed in November 2010.</p>",High risk,"<p>Lost to follow-up: 119/606 (20%). Discontinued due to adverse events n = 24 but no details of whether adverse events were related to study outcomes or not, failure to return during intervention phase n = 8, at parent's request during intervention phase n = 48. 39 participants lost to follow-up during follow-up phase.</p><p>526/606 (13% loss to follow-up) participants completed the study to 7 months of age. 487/606 participants completed the study to 3 years of age.</p>",Low risk,<p>Specific definitions for outcomes described as part of the diagnostic criteria. Primary outcomes were measured with validated and appropriate methods.&nbsp;</p>,Some concerns,<p>No description of pre-specified analysis. ISRCTN60475069.</p>,High risk,<p>The study is judged to have some concerns for multiple domains in a way that substantially lowers confidence in the result.</p>
1,8,Subgroup analysis: eczema by 2 years by risk of allergy,Infant at high risk of allergy or food hypersensitivity,1,SUBGROUP_AND_OVERALL,Niers 2009,2009,0.0,0.1628088879844525,0.0,0.0,27,50,0.0,0.0,33,48,0.0,0.026506734006734003,8.988926,0.785455,0.570871,1.080698,,Some concerns,<p>Block randomisation with a block size of 10 was used. Method of sequence generation not reported. Statistically significant imbalance between groups in frequency of pets at home.</p><p>Study investigators ensured that randomisation was successful with placebo and intervention groups being equal with respect to potential risk factors and confounders. Allocation concealment method not described. 54/156 excluded after randomisation as met exclusion criteria.</p>,Low risk,"<p>Placebo consisted of the carrier of the probiotic bacteria mixture - rice starch and maltodextrin. Both supplements were dispensed as a stable powder in identical individually packed sachets containing 3 g of material.</p><p>Double Blind (Participant, Caregiver, Investigator, Outcomes Assessor).</p>",Some concerns,"<p>58/156 (37%) post-randomisation losses - 54 exclusion criteria, 21 parental requests, 8 (all control group) excluded due to non-compliance. Completed study at 2 years: probiotic group 50/78 (64%); placebo group 48/78 (62%). 83 participants of the former P and A study participated in the follow-up study at the age of 6 years: probiotic group 39, placebo group 44. High drop-out right, although described to not be related to study intervention.</p>",Low risk,"<p>Primary outcomes: Incidence and severity of atopic disease at the age of 2 years. Incidence and prevalence of eczema at 2 years. Specific definitions for allergic disease or food hypersensitivity, or both, reported. Not all infants with parental reported eczema examined by physician.</p>",Some concerns,<p>No prespecified analysis plan. NCT00200954.</p>,High risk,<p>The study is judged to have some concerns for multiple domains in a way that substantially lowers confidence in the result.</p>
1,8,Subgroup analysis: eczema by 2 years by risk of allergy,Infant at high risk of allergy or food hypersensitivity,1,SUBGROUP_AND_OVERALL,Soh 2009,2009,0.0,0.23246804389296338,0.0,0.0,27,124,0.0,0.0,30,121,0.0,0.05404139143142075,5.233957,0.878226,0.556838,1.385107,,Some concerns,<p>Sequential computerised randomisation in blocks of 6. Allocation concealment was not specified.&nbsp;</p><p>Well balanced groups after randomisation. No significant differences in the baseline demographics and family history of allergic disease between the participants who completed follow-up and those who were lost to follow-up. Participants in the probiotic group and placebo group that completed the 5 year follow-up did not differ significantly in environmental factors.</p><p>Allocation concealment not specified.&nbsp;</p><p>A large number of participants (208/266) continued to consume probiotics of their own accord in the form of milk formula/food/supplements with probiotics. The investigators noted that this was statistically associated with a reduced incidence of asthma and allergic rhinitis at the age of 5 years.</p>,Low risk,"<p>The formula feeds (test and control) tasted and appeared identical.<br>Mothers (caregivers), doctors, nurses and statisticians involved in the trial were blinded to milk formula allocation.</p>",Low risk,"<p>8/253 withdrew before follow-up. 10 participants dropped out (probiotic group = 2, placebo group = 8). Analysed at 1 year: probiotic group n = 124, placebo group n = 121). Loss to follow-up: 18/253 (7%). 220/253 (87%) participants completed follow-up until 5 years. Small number of drop outs.&nbsp;</p>",Low risk,<p>Primary clinical outcome measure was the incidence of eczema in 1st year; secondary outcome measure allergen sensitisation. Specific definitions for allergy reported.</p>,Some concerns,"<p>Pre-specified analysis plan was not found for follow up at 1yr. Pre-specified analysis plan available for follow up at 5 and 7 years, although no indication of whether there was any deviation from pre-specified plan. NCT00318695, NCT00365469, NCT00826189.</p>",Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>"
1,8,Subgroup analysis: eczema by 2 years by risk of allergy,Infant at high risk of allergy or food hypersensitivity,1,SUBGROUP_AND_OVERALL,Taylor 2006,2006,0.0,0.18129993089454552,0.0,0.0,38,88,0.0,0.0,34,87,0.0,0.03286966494236698,7.710599,1.104947,0.774495,1.576391,,Some concerns,"<p>Computerised randomisation schedule with allocation and dispensing by pharmacy. Groups were stratified and block-randomised according to maternal allergy (asthma compared with other allergies); parity (first child compared with 2 or more children); and paternal allergy (allergy compared with no allergy).</p><p>Recruitment before randomisation. Allocation completed by external personnel, independent from the investigators. Significant differences were seen with birth length (P = 0.013) and birth head circumference (P = 0.023) between the 2 groups as analysed. Other baseline characteristics between groups were balanced with no significant differences reported.</p>",Low risk,"<p>Placebo supplements were image-matched, and participants, research scientists, and paediatrician remained blinded for the duration of the study. Randomisation and allocation of supplements occurred at a separate area from participant recruitment. Supplements were dispensed to participants by persons independent from the allocation process.</p>",Low risk,"<p>Losses to follow up: 8/226 withdrew prior to receiving allocation. 40/226 discontinued intervention: 2 due to non-compliance/found study too demanding, 4 due to colic or apparent abdominal discomfort in the baby, 2 due to postnatal depression, 4 due to unrelated infant health problems, 2 due to infant refusing to take supplement. 178/226 analysed at 6 and 12 months (probiotic group n = 89, placebo group n = 89) with 48/226 (21%) loss to follow-up/discontinued at 12 months. Additional control infant not reported for atopic eczema. 153/226 analysed at 2.5-year assessment with 73/226 (32%) loss to follow-up at 2.5 years. 123/226 analysed at 5-year assessment (probiotic group n = 66, placebo group n = 57) with 103/226 (45%) loss to follow-up.&nbsp;</p><p>Dropout rate was similar across both groups and no indication that missing data was related to health outcomes.</p>",Low risk,"<p>Primary outcome atopic dermatitis and food allergy at 6 and 12 months and evidence of allergen sensitisation at 12 months age. Children were clinically evaluated at 5 years of age, including a detailed history, allergy skin prick testing and physical examinations. Specific definitions for allergy reported. Clinical outcomes were evaluated by the same paediatrician at 5 years of age as at the earlier visits (Prof SL Prescott).</p>",Some concerns,<p>No pre-specified analysis plan found. No clinical trial registry number found.</p>,Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>"
1,8,Subgroup analysis: eczema by 2 years by risk of allergy,Infant at high risk of allergy or food hypersensitivity,1,SUBGROUP_AND_OVERALL,West 2008,2008,0.0,0.4483809712567183,0.0,0.0,6,55,0.0,0.0,14,53,0.0,0.201045495385118,1.620308,0.412987,0.171504,0.994487,,Some concerns,<p>Reported to be randomised but method not reported. Written and oral information was provided before enrolment and written consent was signed by parents. Allocation concealment is not described.</p><p>Well balanced groups after randomisation.</p>,Low risk,<p>Placebo used. Cereals supplemented with LF19 or the same cereals without LF19.</p><p>Parents and investigators were blinded as to which carton contained LF19 until laboratory analyses were completed.</p>,Low risk,"<p>Losses to follow up: 9/179 (5%) at 13 month follow-up. Probiotic group n = 89, placebo group n = 90. 121 completed follow-up at 8 - 9 years of age, loss to follow-up: 50/179 (30%). 8 - 9 year follow-up: probiotic group n = 59, placebo group n = 62. Small number of drop outs during follow up at 13 months.&nbsp;</p>",Low risk,<p>Primary outcome measure was the cumulative incidence of eczema at 13 months. Specific definitions for allergy reported. Primary outcomes measured using appropriate and validated methods.&nbsp;</p>,Some concerns,<p>No pre-specified analysis plan found. NCT00894816.</p>,Some concerns,"<p>The study is judged to raise some concerns in at least one domain for this result, but not to be at high risk of bias for any domain.</p>"
