Analysis group,Analysis number,Analysis name,Subgroup,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,3,Erectile function (conversion to IIEF-EF),,SUBGROUP_AND_OVERALL,Maggi 2016,2016,0.0,0.0,16.4,9.6,0,273,14.2,9.3,0,265,0.0,0.0,10.203082,2.2,0.602948,3.797052,
1,3,Erectile function (conversion to IIEF-EF),,SUBGROUP_AND_OVERALL,Morales 2009,2009,0.0,0.0,11.1,7.7,0,24,11.3,9.1,0,28,0.0,0.0,9.650011,-0.2,-4.766302,4.366302,
1,3,Erectile function (conversion to IIEF-EF),,SUBGROUP_AND_OVERALL,Reiter 1999,1999,0.0,0.0,28.12,1.17,0,17,7.26,1.64,0,13,0.0,0.0,10.249513,20.86,19.80924,21.91076,
1,3,Erectile function (conversion to IIEF-EF),,SUBGROUP_AND_OVERALL,Snyder 2016,2016,0.0,0.0,3.1,6.9,0,234,1.0,6.0,0,236,0.0,0.0,10.241024,2.1,0.930567,3.269433,
1,3,Erectile function (conversion to IIEF-EF),,SUBGROUP_AND_OVERALL,Yucel 2017,2017,0.0,0.0,22.17,6.06,0,31,11.15,6.82,0,31,0.0,0.0,9.960887,11.02,7.80839,14.23161,
1,4,Sexual quality of life (AMS total),,SUBGROUP_AND_OVERALL,Behre 2012,2012,0.0,0.0,37.0,10.8222,0,183,39.9,9.3654,0,179,0.0,0.0,18.745365,-2.9,-4.983474,-0.816526,
1,4,Sexual quality of life (AMS total),,SUBGROUP_AND_OVERALL,Hackett 2017,2017,0.0,0.0,37.14,12.13,0,91,37.31,11.12,0,95,0.0,0.0,17.557719,-0.17,-3.518336,3.178336,
1,4,Sexual quality of life (AMS total),,SUBGROUP_AND_OVERALL,Ho 2012,2012,0.0,0.0,32.61,9.67,0,56,33.59,10.69,0,58,0.0,0.0,17.120112,-0.98,-4.719414,2.759414,
1,4,Sexual quality of life (AMS total),,SUBGROUP_AND_OVERALL,Legros 2009,2009,0.0,0.0,32.51,9.78,0,237,35.6,9.7,0,79,0.0,0.0,18.421678,-3.09,-5.564987,-0.615013,
1,4,Sexual quality of life (AMS total),,SUBGROUP_AND_OVERALL,Morales 2009,2009,0.0,0.0,34.3,13.3,0,24,37.7,10.7,0,28,0.0,0.0,13.479463,-3.4,-10.034802,3.234802,
1,4,Sexual quality of life (AMS total),,SUBGROUP_AND_OVERALL,Yucel 2017,2017,0.0,0.0,37.4,11.2,0,31,60.0,11.7,0,31,0.0,0.0,14.675662,-22.6,-28.301528,-16.898472,
1,5,Sexual quality of life (IIEF-overall satisfaction),,SUBGROUP_AND_OVERALL,Brock 2016,2016,0.0,0.0,1.2,0.13,0,303,0.4,0.13,0,297,0.0,0.0,25.518589,0.8,0.779195,0.820805,
1,5,Sexual quality of life (IIEF-overall satisfaction),,SUBGROUP_AND_OVERALL,Chiang 2007,2007,0.0,0.0,1.3,1.9,0,15,0.3,2.8,0,15,0.0,0.0,23.998184,1.0,-0.7124,2.7124,
1,5,Sexual quality of life (IIEF-overall satisfaction),,SUBGROUP_AND_OVERALL,Hackett 2017,2017,0.0,0.0,5.35,2.81,0,91,5.28,3.06,0,95,0.0,0.0,25.132174,0.07,-0.773774,0.913774,
1,5,Sexual quality of life (IIEF-overall satisfaction),,SUBGROUP_AND_OVERALL,Reiter 1999,1999,0.0,0.0,8.96,0.72,0,17,2.08,0.8,0,13,0.0,0.0,25.351053,6.88,6.326592,7.433408,
1,6,Cardiovascular mortality,,SUBGROUP_AND_OVERALL,Behre 2012,2012,0.0,0.0,0.0,0.0,1,183,0.0,0.0,0,179,0.0,0.0,18.292179,2.934783,0.120347,71.567345,
1,6,Cardiovascular mortality,,SUBGROUP_AND_OVERALL,Brock 2016,2016,0.0,0.0,0.0,0.0,0,358,0.0,0.0,0,357,0.0,0.0,,,,,
1,6,Cardiovascular mortality,,SUBGROUP_AND_OVERALL,Giltay 2010,2010,0.0,0.0,0.0,0.0,0,113,0.0,0.0,1,71,0.0,0.0,18.37292,0.210526,0.008694,5.097933,
1,6,Cardiovascular mortality,,SUBGROUP_AND_OVERALL,Groti 2018,2020,0.0,0.0,0.0,0.0,0,28,0.0,0.0,0,27,0.0,0.0,,,,,
1,6,Cardiovascular mortality,,SUBGROUP_AND_OVERALL,Hackett 2017,2017,0.0,0.0,0.0,0.0,0,97,0.0,0.0,0,102,0.0,0.0,,,,,
1,6,Cardiovascular mortality,,SUBGROUP_AND_OVERALL,Ho 2012,2012,0.0,0.0,0.0,0.0,1,60,0.0,0.0,1,60,0.0,0.0,24.700733,1.0,0.064017,15.620938,
1,6,Cardiovascular mortality,,SUBGROUP_AND_OVERALL,Legros 2009,2009,0.0,0.0,0.0,0.0,2,237,0.0,0.0,0,79,0.0,0.0,20.382722,1.680672,0.081546,34.638767,
1,6,Cardiovascular mortality,,SUBGROUP_AND_OVERALL,Maggi 2016,2016,0.0,0.0,0.0,0.0,0,354,0.0,0.0,0,356,0.0,0.0,,,,,
1,6,Cardiovascular mortality,,SUBGROUP_AND_OVERALL,Paduch 2015,2015,0.0,0.0,0.0,0.0,0,36,0.0,0.0,0,40,0.0,0.0,,,,,
1,6,Cardiovascular mortality,,SUBGROUP_AND_OVERALL,Snyder 2016,2016,0.0,0.0,0.0,0.0,0,394,0.0,0.0,1,394,0.0,0.0,18.251445,0.333333,0.01362,8.157645,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Aversa 2010a,2010,0.0,0.0,0.0,0.0,1,42,0.0,0.0,1,10,0.0,0.0,1.661033,0.238095,0.016249,3.488802,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Behre 2012,2012,0.0,0.0,0.0,0.0,10,183,0.0,0.0,12,179,0.0,0.0,18.089001,0.815118,0.361338,1.838773,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Benkert 1979,1979,0.0,0.0,0.0,0.0,1,18,0.0,0.0,2,18,0.0,0.0,2.243818,0.5,0.049639,5.036405,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Brock 2016,2016,0.0,0.0,0.0,0.0,8,358,0.0,0.0,11,357,0.0,0.0,14.817863,0.725241,0.295203,1.781739,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Chiang 2007,2007,0.0,0.0,0.0,0.0,0,20,0.0,0.0,3,20,0.0,0.0,1.422711,0.142857,0.007854,2.598377,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Giltay 2010,2010,0.0,0.0,0.0,0.0,0,113,0.0,0.0,1,71,0.0,0.0,1.178671,0.210526,0.008694,5.097933,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Groti 2018,2020,0.0,0.0,0.0,0.0,0,28,0.0,0.0,0,27,0.0,0.0,,,,,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Hackett 2017,2017,0.0,0.0,0.0,0.0,1,97,0.0,0.0,3,102,0.0,0.0,2.373109,0.350515,0.037091,3.312444,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Haren 2005,2005,0.0,0.0,0.0,0.0,0,37,0.0,0.0,0,30,0.0,0.0,,,,,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Ho 2012,2012,0.0,0.0,0.0,0.0,1,60,0.0,0.0,1,60,0.0,0.0,1.584617,1.0,0.064017,15.620938,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Kunelius 2002,2002,0.0,0.0,0.0,0.0,1,60,0.0,0.0,0,60,0.0,0.0,1.183203,3.0,0.124648,72.203127,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Legros 2009,2009,0.0,0.0,0.0,0.0,29,237,0.0,0.0,10,79,0.0,0.0,26.498965,0.966667,0.493593,1.893147,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Li 2013,2013,0.0,0.0,0.0,0.0,2,45,0.0,0.0,2,45,0.0,0.0,3.261363,1.0,0.147207,6.793146,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Maggi 2016,2016,0.0,0.0,0.0,0.0,7,354,0.0,0.0,11,356,0.0,0.0,13.66055,0.639959,0.250952,1.631974,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Merza 2006,2006,0.0,0.0,0.0,0.0,0,20,0.0,0.0,1,19,0.0,0.0,1.213062,0.31746,0.01372,7.345417,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Morales 2009,2009,0.0,0.0,0.0,0.0,2,28,0.0,0.0,0,29,0.0,0.0,1.336264,5.172414,0.259288,103.182204,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Paduch 2015,2015,0.0,0.0,0.0,0.0,1,36,0.0,0.0,0,40,0.0,0.0,1.191632,3.324324,0.139689,79.112257,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Reiter 1999,1999,0.0,0.0,0.0,0.0,3,20,0.0,0.0,7,20,0.0,0.0,8.284138,0.428571,0.128808,1.425943,
1,7,Treatment withdrawal due to adverse events,,SUBGROUP_AND_OVERALL,Yucel 2017,2017,0.0,0.0,0.0,0.0,0,31,0.0,0.0,0,31,0.0,0.0,,,,,
1,8,Prostate-related events,,SUBGROUP_AND_OVERALL,Behre 2012,2012,0.0,0.0,0.0,0.0,2,183,0.0,0.0,4,179,0.0,0.0,6.292246,0.489071,0.090711,2.636835,
1,8,Prostate-related events,,SUBGROUP_AND_OVERALL,Brock 2016,2016,0.0,0.0,0.0,0.0,6,358,0.0,0.0,3,357,0.0,0.0,9.404522,1.994413,0.502691,7.912776,
1,8,Prostate-related events,,SUBGROUP_AND_OVERALL,Chiang 2007,2007,0.0,0.0,0.0,0.0,0,20,0.0,0.0,0,18,0.0,0.0,,,,,
1,8,Prostate-related events,,SUBGROUP_AND_OVERALL,Groti 2018,2020,0.0,0.0,0.0,0.0,0,28,0.0,0.0,0,27,0.0,0.0,,,,,
1,8,Prostate-related events,,SUBGROUP_AND_OVERALL,Hackett 2017,2017,0.0,0.0,0.0,0.0,14,97,0.0,0.0,11,102,0.0,0.0,32.692324,1.338332,0.639077,2.802686,
1,8,Prostate-related events,,SUBGROUP_AND_OVERALL,Ho 2012,2012,0.0,0.0,0.0,0.0,0,56,0.0,0.0,0,58,0.0,0.0,,,,,
1,8,Prostate-related events,,SUBGROUP_AND_OVERALL,Kunelius 2002,2002,0.0,0.0,0.0,0.0,1,54,0.0,0.0,0,60,0.0,0.0,1.766522,3.327273,0.138396,79.993386,
1,8,Prostate-related events,,SUBGROUP_AND_OVERALL,Legros 2009,2009,0.0,0.0,0.0,0.0,12,237,0.0,0.0,4,79,0.0,0.0,14.692888,1.0,0.332018,3.011884,
1,8,Prostate-related events,,SUBGROUP_AND_OVERALL,Maggi 2016,2016,0.0,0.0,0.0,0.0,5,354,0.0,0.0,2,356,0.0,0.0,6.696248,2.514124,0.491012,12.873048,
1,8,Prostate-related events,,SUBGROUP_AND_OVERALL,Paduch 2015,2015,0.0,0.0,0.0,0.0,0,31,0.0,0.0,0,35,0.0,0.0,,,,,
1,8,Prostate-related events,,SUBGROUP_AND_OVERALL,Snyder 2016,2016,0.0,0.0,0.0,0.0,23,394,0.0,0.0,8,394,0.0,0.0,28.45525,2.875,1.301836,6.349204,
1,9,Lower urinary tract symptoms,,SUBGROUP_AND_OVERALL,Behre 2012,2012,0.0,0.0,6.4,5.6,0,166,8.7,7.2,0,155,0.0,0.0,14.637651,-2.3,-3.717919,-0.882081,
1,9,Lower urinary tract symptoms,,SUBGROUP_AND_OVERALL,Brock 2016,2016,0.0,0.0,-0.7,0.27,0,324,-0.7,0.28,0,320,0.0,0.0,23.356489,0.0,-0.042491,0.042491,
1,9,Lower urinary tract symptoms,,SUBGROUP_AND_OVERALL,Chiang 2007,2007,0.0,0.0,7.0,5.0,0,20,6.8,5.0,0,17,0.0,0.0,5.698719,0.2,-3.032805,3.432805,
1,9,Lower urinary tract symptoms,,SUBGROUP_AND_OVERALL,Hisasue 2015,2015,0.0,0.0,8.8,2.98,0,30,10.7,2.98,0,27,0.0,0.0,13.648212,-1.9,-3.449385,-0.350615,
1,9,Lower urinary tract symptoms,,SUBGROUP_AND_OVERALL,Ho 2012,2012,0.0,0.0,7.8,6.4,0,56,9.5,8.2,0,58,0.0,0.0,7.407117,-1.7,-4.395032,0.995032,
1,9,Lower urinary tract symptoms,,SUBGROUP_AND_OVERALL,Kunelius 2002,2002,0.0,0.0,8.0,5.3,0,54,6.9,5.4,0,60,0.0,0.0,10.88559,1.1,-0.866016,3.066016,
1,9,Lower urinary tract symptoms,,SUBGROUP_AND_OVERALL,Legros 2009,2009,0.0,0.0,5.78,4.7,0,170,6.23,5.6,0,59,0.0,0.0,13.324053,-0.45,-2.04405,1.14405,
1,9,Lower urinary tract symptoms,,SUBGROUP_AND_OVERALL,Paduch 2015,2015,0.0,0.0,7.4,6.0,0,31,5.7,5.7,0,35,0.0,0.0,6.910716,1.7,-1.1332,4.5332,
1,9,Lower urinary tract symptoms,,SUBGROUP_AND_OVERALL,Yucel 2017,2017,0.0,0.0,15.7,7.6,0,31,17.8,8.3,0,31,0.0,0.0,4.131453,-2.1,-6.061593,1.861593,
1,10,"Erectile function (subgroup: age and testosterone level, conversion to IIEF-EF)",All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Brock 2016,2016,0.0,0.0,3.4,8.1812,0,303,0.7,8.0998,0,297,0.0,0.0,10.230426,2.7,1.397256,4.002744,
1,10,"Erectile function (subgroup: age and testosterone level, conversion to IIEF-EF)",All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Chiang 2007,2007,0.0,0.0,7.3,7.8,0,15,-1.6,8.5,0,15,0.0,0.0,9.286038,8.9,3.061851,14.738149,
1,10,"Erectile function (subgroup: age and testosterone level, conversion to IIEF-EF)",All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Giltay 2010,2010,0.0,0.0,17.67,8.38,0,105,14.77,8.38,0,65,0.0,0.0,10.07159,2.9,0.307819,5.492181,
1,10,"Erectile function (subgroup: age and testosterone level, conversion to IIEF-EF)",All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Hackett 2017,2017,0.0,0.0,13.99,10.89,0,91,10.52,10.43,0,95,0.0,0.0,9.988658,3.47,0.403227,6.536773,
1,10,"Erectile function (subgroup: age and testosterone level, conversion to IIEF-EF)",All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Li 2013,2013,0.0,0.0,23.62,5.51,0,42,20.72,5.22,0,43,0.0,0.0,10.118771,2.9,0.617216,5.182784,
1,10,"Erectile function (subgroup: age and testosterone level, conversion to IIEF-EF)",All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Maggi 2016,2016,0.0,0.0,16.4,9.6,0,273,14.2,9.3,0,265,0.0,0.0,10.203082,2.2,0.602948,3.797052,
1,10,"Erectile function (subgroup: age and testosterone level, conversion to IIEF-EF)",All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Morales 2009,2009,0.0,0.0,11.1,7.7,0,24,11.3,9.1,0,28,0.0,0.0,9.650011,-0.2,-4.766302,4.366302,
1,10,"Erectile function (subgroup: age and testosterone level, conversion to IIEF-EF)",All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Reiter 1999,1999,0.0,0.0,28.12,1.17,0,17,7.26,1.64,0,13,0.0,0.0,10.249513,20.86,19.80924,21.91076,
1,10,"Erectile function (subgroup: age and testosterone level, conversion to IIEF-EF)",All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Yucel 2017,2017,0.0,0.0,22.17,6.06,0,31,11.15,6.82,0,31,0.0,0.0,9.960887,11.02,7.80839,14.23161,
1,10,"Erectile function (subgroup: age and testosterone level, conversion to IIEF-EF)",Age ≥ 65 years/testosterone < 8 nmol/L,SUBGROUP_AND_OVERALL,Snyder 2016,2016,0.0,0.0,3.1,6.9,0,234,1.0,6.0,0,236,0.0,0.0,10.241024,2.1,0.930567,3.269433,
1,11,Cardiovascular mortality (subgroup: age and testosterone level),All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Behre 2012,2012,0.0,0.0,0.0,0.0,1,183,0.0,0.0,0,179,0.0,0.0,18.292179,2.934783,0.120347,71.567345,
1,11,Cardiovascular mortality (subgroup: age and testosterone level),All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Brock 2016,2016,0.0,0.0,0.0,0.0,0,358,0.0,0.0,0,357,0.0,0.0,,,,,
1,11,Cardiovascular mortality (subgroup: age and testosterone level),All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Giltay 2010,2010,0.0,0.0,0.0,0.0,0,113,0.0,0.0,1,71,0.0,0.0,18.37292,0.210526,0.008694,5.097933,
1,11,Cardiovascular mortality (subgroup: age and testosterone level),All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Groti 2018,2020,0.0,0.0,0.0,0.0,0,28,0.0,0.0,0,27,0.0,0.0,,,,,
1,11,Cardiovascular mortality (subgroup: age and testosterone level),All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Hackett 2017,2017,0.0,0.0,0.0,0.0,0,97,0.0,0.0,0,102,0.0,0.0,,,,,
1,11,Cardiovascular mortality (subgroup: age and testosterone level),All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Ho 2012,2012,0.0,0.0,0.0,0.0,1,60,0.0,0.0,1,60,0.0,0.0,24.700733,1.0,0.064017,15.620938,
1,11,Cardiovascular mortality (subgroup: age and testosterone level),All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Legros 2009,2009,0.0,0.0,0.0,0.0,2,237,0.0,0.0,0,79,0.0,0.0,20.382722,1.680672,0.081546,34.638767,
1,11,Cardiovascular mortality (subgroup: age and testosterone level),All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Maggi 2016,2016,0.0,0.0,0.0,0.0,0,354,0.0,0.0,0,356,0.0,0.0,,,,,
1,11,Cardiovascular mortality (subgroup: age and testosterone level),All ages over 18 years/testosterone ≤ 12 nmol/L,SUBGROUP_AND_OVERALL,Paduch 2015,2015,0.0,0.0,0.0,0.0,0,36,0.0,0.0,0,40,0.0,0.0,,,,,
1,11,Cardiovascular mortality (subgroup: age and testosterone level),Age ≥ 65 years/testosterone < 8 nmol/L,SUBGROUP_AND_OVERALL,Snyder 2016,2016,0.0,0.0,0.0,0.0,0,394,0.0,0.0,1,394,0.0,0.0,18.251445,0.333333,0.01362,8.157645,
1,12,"Erectile function (subgroup: metabolic syndrome (MS), conversion to IIEF-EF)",MS: not reported,SUBGROUP_AND_OVERALL,Brock 2016,2016,0.0,0.0,3.4,8.1812,0,303,0.7,8.0998,0,297,0.0,0.0,10.230426,2.7,1.397256,4.002744,
1,12,"Erectile function (subgroup: metabolic syndrome (MS), conversion to IIEF-EF)",MS: not reported,SUBGROUP_AND_OVERALL,Chiang 2007,2007,0.0,0.0,7.3,7.8,0,15,-1.6,8.5,0,15,0.0,0.0,9.286038,8.9,3.061851,14.738149,
1,12,"Erectile function (subgroup: metabolic syndrome (MS), conversion to IIEF-EF)",MS: not reported,SUBGROUP_AND_OVERALL,Li 2013,2013,0.0,0.0,23.62,5.51,0,42,20.72,5.22,0,43,0.0,0.0,10.118771,2.9,0.617216,5.182784,
1,12,"Erectile function (subgroup: metabolic syndrome (MS), conversion to IIEF-EF)",MS: not reported,SUBGROUP_AND_OVERALL,Maggi 2016,2016,0.0,0.0,16.4,9.6,0,273,14.2,9.3,0,265,0.0,0.0,10.203082,2.2,0.602948,3.797052,
1,12,"Erectile function (subgroup: metabolic syndrome (MS), conversion to IIEF-EF)",MS: not reported,SUBGROUP_AND_OVERALL,Morales 2009,2009,0.0,0.0,11.1,7.7,0,24,11.3,9.1,0,28,0.0,0.0,9.650011,-0.2,-4.766302,4.366302,
1,12,"Erectile function (subgroup: metabolic syndrome (MS), conversion to IIEF-EF)",MS: not reported,SUBGROUP_AND_OVERALL,Snyder 2016,2016,0.0,0.0,3.1,6.9,0,234,1.0,6.0,0,236,0.0,0.0,10.241024,2.1,0.930567,3.269433,
1,12,"Erectile function (subgroup: metabolic syndrome (MS), conversion to IIEF-EF)",MS: participants with MS,SUBGROUP_AND_OVERALL,Giltay 2010,2010,0.0,0.0,17.67,8.38,0,105,14.77,8.38,0,65,0.0,0.0,10.07159,2.9,0.307819,5.492181,
1,12,"Erectile function (subgroup: metabolic syndrome (MS), conversion to IIEF-EF)",MS: participants with MS,SUBGROUP_AND_OVERALL,Hackett 2017,2017,0.0,0.0,13.99,10.89,0,91,10.52,10.43,0,95,0.0,0.0,9.988658,3.47,0.403227,6.536773,
1,12,"Erectile function (subgroup: metabolic syndrome (MS), conversion to IIEF-EF)",MS: participants without MS,SUBGROUP_AND_OVERALL,Reiter 1999,1999,0.0,0.0,28.12,1.17,0,17,7.26,1.64,0,13,0.0,0.0,10.249513,20.86,19.80924,21.91076,
1,12,"Erectile function (subgroup: metabolic syndrome (MS), conversion to IIEF-EF)",MS: participants without MS,SUBGROUP_AND_OVERALL,Yucel 2017,2017,0.0,0.0,22.17,6.06,0,31,11.15,6.82,0,31,0.0,0.0,9.960887,11.02,7.80839,14.23161,
1,13,"Sexual quality of life (subgroup: metabolic syndrome (MS), AMS total)",MS: participants with MS,SUBGROUP_AND_OVERALL,Hackett 2017,2017,0.0,0.0,37.14,12.13,0,91,37.31,11.12,0,95,0.0,0.0,17.557719,-0.17,-3.518336,3.178336,
1,13,"Sexual quality of life (subgroup: metabolic syndrome (MS), AMS total)",MS: participants without MS,SUBGROUP_AND_OVERALL,Yucel 2017,2017,0.0,0.0,37.4,11.2,0,31,60.0,11.7,0,31,0.0,0.0,14.675662,-22.6,-28.301528,-16.898472,
1,13,"Sexual quality of life (subgroup: metabolic syndrome (MS), AMS total)",MS: not reported,SUBGROUP_AND_OVERALL,Behre 2012,2012,0.0,0.0,37.0,10.8222,0,183,39.9,9.3654,0,179,0.0,0.0,18.745365,-2.9,-4.983474,-0.816526,
1,13,"Sexual quality of life (subgroup: metabolic syndrome (MS), AMS total)",MS: not reported,SUBGROUP_AND_OVERALL,Ho 2012,2012,0.0,0.0,32.61,9.67,0,56,33.59,10.69,0,58,0.0,0.0,17.120112,-0.98,-4.719414,2.759414,
1,13,"Sexual quality of life (subgroup: metabolic syndrome (MS), AMS total)",MS: not reported,SUBGROUP_AND_OVERALL,Legros 2009,2009,0.0,0.0,32.51,9.78,0,237,35.6,9.7,0,79,0.0,0.0,18.421678,-3.09,-5.564987,-0.615013,
